county,date,icu_avail,icu_total,med_avail,med_total,ped_avail,ped_total,pic_avail,pic_total,covid_patients,covid_vents,vents_use,vents,icu_avail_mean,icu_total_mean,med_avail_mean,med_total_mean,ped_avail_mean,ped_total_mean,pic_avail_mean,pic_total_mean,covid_patients_mean,covid_vents_mean,vents_use_mean,vents_mean,icu_percent,med_percent,ped_percent,pic_percent,covid_icu,covid_icu_mean,county_fips,latitude,longitude
Bucks,2020-06-03T00:00:00Z,23,78,296,739,13,19,0,0,47,17,30,126,38.4,78,317.5,745.9,17.6,19,0,0,53.1,14.4,27.6,126,29.5,40.1,68.4,NA,NA,NA,42017,40.33501133,-75.11291241
Berks,2020-06-03T00:00:00Z,14,58,149,521,22,25,0,0,34,5,18,135,18.1,57.5,113.8,525.6,19.1,24.7,0,0,54.9,5.4,19.7,134.2,24.1,28.6,88,NA,NA,NA,42011,40.41939635,-75.93077327
Chester,2020-06-03T00:00:00Z,44,104,127,593,11,11,0,0,56,13,20,133,54.6,106.1,145.4,586.1,9.4,11,0,0,79.7,11.5,22.4,133,42.3,21.4,100,NA,NA,NA,42029,39.97487056,-75.75626498
Centre,2020-06-03T00:00:00Z,11,24,51,131,5,6,0,0,5,0,0,26,10.4,24,33.7,114.3,5.5,6,0,0,5.8,0,1.1,26,45.8,38.9,83.3,NA,NA,NA,42027,40.9193135,-77.82500112
Elk,2020-06-03T00:00:00Z,6,7,4,19,0,0,0,0,0,0,0,5,6.3,7,3.9,19,0,0,0,0,0,0,0,5,85.7,21.1,NA,NA,NA,NA,42047,41.42819416,-78.64947713
Crawford,2020-06-03T00:00:00Z,6,18,80,138,6,6,0,0,0,0,0,24,8.5,18,88.4,138,5.5,6,0,0,0,0,0.9,24,33.3,58,100,NA,NA,NA,42039,41.68546907,-80.11321083
Snyder,2020-06-03T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42109,40.77113737,-77.07255968
Indiana,2020-06-03T00:00:00Z,4,12,52,102,0,0,0,0,1,1,2,22,5.5,12,45.9,102,0,0,0,0,0.6,0.2,1.1,22,33.3,51,NA,NA,NA,NA,42063,40.65295497,-79.09333493
Franklin,2020-06-03T00:00:00Z,14,34,87,219,6,6,0,0,13,7,14,24,11.9,34,96.7,219,5.4,6,0,0,26.8,7.3,11.4,24,41.2,39.7,100,NA,NA,NA,42055,39.92786197,-77.72398845
Fulton,2020-06-03T00:00:00Z,0,0,12,21,0,0,0,0,0,0,0,4,0,0,7.1,21,0,0,0,0,0,0,0,4,NA,57.1,NA,NA,NA,NA,42057,39.92487511,-78.11485045
Dauphin,2020-06-03T00:00:00Z,31,185,35,452,9,70,3,18,51,11,61,140,43,184,50.9,448.6,15.9,69.4,6.4,18,48.7,9.1,56.7,140,16.8,7.7,12.9,16.7,NA,NA,42043,40.41974636,-76.77960568
Delaware,2020-06-03T00:00:00Z,23,94,119,492,2,8,0,0,62,13,58,168,23.3,80.7,129.7,507.3,2.2,6.6,0,0,92.7,20,60.6,167.4,24.5,24.2,25,NA,NA,NA,42045,39.91657867,-75.40627712
Cumberland,2020-06-03T00:00:00Z,43,88,40,348,0,4,0,0,27,5,24,78,45.7,88,63.6,348,0,4,0,0,25.8,4.7,19.9,77.3,48.9,11.5,0,NA,NA,NA,42041,40.16759839,-77.26866271
Jefferson,2020-06-03T00:00:00Z,3,5,36,60,0,0,0,0,0,0,0,17,3.4,5,42,60,0,0,0,0,0,0,0,17,60,60,NA,NA,NA,NA,42065,41.13139091,-79.00101814
Juniata,2020-06-03T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42067,40.53433008,-77.405775
Erie,2020-06-03T00:00:00Z,46,170,120,526,11,19,0,0,15,2,47,156,44.1,170,141.8,526.9,11.8,19,0,0,10,1.4,41.2,156,27.1,22.8,57.9,NA,NA,NA,42049,41.99413787,-80.0407591
Greene,2020-06-03T00:00:00Z,0,0,5,12,0,0,0,0,0,0,0,5,0,0,6.5,14.9,0,0,0,0,0,0,0,5,NA,41.7,NA,NA,NA,NA,42059,39.85480393,-80.22943817
Columbia,2020-06-03T00:00:00Z,11,16,32,35,0,0,0,0,0,0,0,12,10.4,13.4,27.4,34.4,0,0,0,0,0,0,0,12,68.8,91.4,NA,NA,NA,NA,42037,41.04912086,-76.4100218
Forest,2020-06-03T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42053,41.51357876,-79.23780995
Fayette,2020-06-03T00:00:00Z,10,15,84,127,0,0,0,0,0,0,6,23,8.8,15,88.6,127,0,0,0,0,0,0,6,23,66.7,66.1,NA,NA,NA,NA,42051,39.9194478,-79.65189635
Huntingdon,2020-06-03T00:00:00Z,5,7,41,50,0,0,0,0,0,0,0,4,5.1,7,38,50,0,0,0,0,0,0,0,4,71.4,82,NA,NA,NA,NA,42061,40.416105,-77.9827661
Lehigh,2020-06-03T00:00:00Z,17,178,70,1138,17,89,4,13,112,15,69,236,28.2,178,120.2,1138,24.9,89,4.9,13,120.5,18.6,67.4,236,9.6,6.2,19.1,30.8,NA,NA,42077,40.61464794,-75.60099481
Monroe,2020-06-03T00:00:00Z,6,36,22,240,0,16,0,0,2,0,2,24,4.1,36,17.8,240,0.2,16,0,0,5.4,0.4,3.5,24,16.7,9.2,0,NA,NA,NA,42089,41.06091787,-75.34083603
Mercer,2020-06-03T00:00:00Z,25,34,224,314,0,0,0,0,0,0,0,45,21.1,34,230,310.2,0,0,0,0,0.4,0,0,45,73.5,71.3,NA,NA,NA,NA,42085,41.30237777,-80.26009411
Lackawanna,2020-06-03T00:00:00Z,11,68,30,335,8,22,0,0,14,2,16,119,11.6,58.7,35.2,333.1,7.4,22,0,0,22,4.4,14.2,119,16.2,9,36.4,NA,NA,NA,42069,41.43910064,-75.61218345
Lebanon,2020-06-03T00:00:00Z,5,18,37,109,0,0,0,0,8,0,1,12,10,18.1,43.4,105,0,0,0,0,7.9,1.1,1.4,12.7,27.8,33.9,NA,NA,NA,NA,42075,40.367597,-76.46182575
Montgomery,2020-06-03T00:00:00Z,147,342,366,1480,33,35,0,0,188,53,97,306,128.6,352.2,382.6,1400.5,26.6,29.9,0,0,217.1,55.1,95.6,306,43,24.7,94.3,NA,NA,NA,42091,40.20989874,-75.37252001
Lycoming,2020-06-03T00:00:00Z,9,56,96,208,2,7,0,0,3,0,3,40,9.9,56,105.2,207.9,2.1,7,0,0,5.9,0.4,3,40,16.1,46.2,28.6,NA,NA,NA,42081,41.34459792,-77.06942457
Montour,2020-06-03T00:00:00Z,16,116,93,267,9,36,7,14,12,1,30,187,23.4,124,52.1,267,8.1,36,7.6,14,15.2,3.1,30.5,187,13.8,34.8,25,50,NA,NA,42093,41.02801824,-76.66470527
McKean,2020-06-03T00:00:00Z,2,10,25,38,18,29,0,0,0,0,0,8,4.1,10,23.9,38,15.6,29,0,0,0,0,0.3,8,20,65.8,62.1,NA,NA,NA,42083,41.81037074,-78.5712202
Lawrence,2020-06-03T00:00:00Z,8,12,55,110,0,0,0,0,0,0,8,24,5.5,11.8,61.4,108.1,0,0,0,0,0.6,0.2,7.9,24,66.7,50,NA,NA,NA,NA,42073,40.99325035,-80.33754114
Northampton,2020-06-03T00:00:00Z,7,21,18,144,0,0,0,0,11,0,4,25,9.1,21,19.9,144.6,0,0,0,0,15.6,0,2.1,25,33.3,12.5,NA,NA,NA,NA,42095,40.7545954,-75.31263726
Mifflin,2020-06-03T00:00:00Z,21,39,35,58,0,0,0,0,0,0,3,15,14.1,26.6,38.2,70.4,0,0,0,0,0,0,1.6,15,53.8,60.3,NA,NA,NA,NA,42087,40.61274928,-77.62003089
Luzerne,2020-06-03T00:00:00Z,20,79,70,392,6,7,0,0,24,1,18,133,16.5,90.2,69.2,383.4,5.1,7,0,0,39.8,4.4,16,133,25.3,17.9,85.7,NA,NA,NA,42079,41.17836439,-75.9919961
Lancaster,2020-06-03T00:00:00Z,17,91,112,521,21,29,0,0,51,10,30,172,18.5,90.9,146.8,524.5,24.4,29,0,0,53.4,7.3,29.6,168.9,18.7,21.5,72.4,NA,NA,NA,42071,40.04590796,-76.25138768
Schuylkill,2020-06-03T00:00:00Z,4,16,30,123,6,9,0,0,2,0,3,10,4.9,16,26.1,123,5.8,9,0,0,5,0,3,10,25,24.4,66.7,NA,NA,NA,42107,40.70751243,-76.22332385
Northumberland,2020-06-03T00:00:00Z,5,7,22,40,0,0,0,0,0,0,1,4,3.4,7,21.8,40,0,0,0,0,0.3,0,1,4,71.4,55,NA,NA,NA,NA,42097,40.85150926,-76.71188423
Potter,2020-06-03T00:00:00Z,5,6,25,39,0,0,0,0,0,0,0,8,4.9,6,28.1,39,0,0,0,0,0,0,0,8,83.3,64.1,NA,NA,NA,NA,42105,41.74420644,-77.89879229
Perry,2020-06-03T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42099,40.40415317,-77.25907385
Philadelphia,2020-06-03T00:00:00Z,193,831,781,3809,55,105,44,256,376,90,389,1442,190.6,859.9,973.5,3878.6,53.3,93.3,38.4,254.4,461.2,119.4,406.4,1462.6,23.2,20.5,52.4,17.2,NA,NA,42101,40.00444354,-75.140236
Pike,2020-06-03T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42103,41.332572,-75.03270924
Somerset,2020-06-03T00:00:00Z,28,46,102,136,0,0,0,0,1,0,0,18,34.3,46,107.4,136,0,0,0,0,1,0,0,22.3,60.9,75,NA,NA,NA,NA,42111,39.97146299,-79.03100206
Susquehanna,2020-06-03T00:00:00Z,0,0,21,46,0,0,0,0,1,0,0,3,0,0,23.4,46,0,0,0,0,0.6,0,0,3,NA,45.7,NA,NA,NA,NA,42115,41.8205686,-75.80250303
York,2020-06-03T00:00:00Z,13,106,71,523,14,19,0,0,31,4,37,138,29.3,106.5,110.6,523.1,15.1,19,0,0,25.5,3.9,35.9,139.2,12.3,13.6,73.7,NA,NA,NA,42133,39.92192531,-76.72576052
Wayne,2020-06-03T00:00:00Z,7,8,18,23,0,0,0,0,0,0,0,9,4,8,22.5,23,0,0,0,0,0.3,0,0.1,9,87.5,78.3,NA,NA,NA,NA,42127,41.64969805,-75.3051535
Tioga,2020-06-03T00:00:00Z,1,6,25,44,0,0,0,0,0,0,0,27,3.6,6,27.6,43.4,0,0,0,0,0,0,0,27,16.7,56.8,NA,NA,NA,NA,42117,41.77333834,-77.25788076
Warren,2020-06-03T00:00:00Z,3,6,13,24,2,2,0,0,0,0,0,3,1.4,6,3.6,23.6,1.6,2,0,0,0,0,0,3,50,54.2,100,NA,NA,NA,42123,41.81675237,-79.27858158
Sullivan,2020-06-03T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42113,41.4480994,-76.5147922
Westmoreland,2020-06-03T00:00:00Z,42,79,75,343,0,0,0,0,1,0,10,89,39.8,79,136.9,343,0,0,0,0,1.6,0.2,9.1,89,53.2,21.9,NA,NA,NA,NA,42129,40.310315,-79.47134118
Washington,2020-06-03T00:00:00Z,6,35,43,231,0,0,0,0,0,0,7,33,11.9,39.4,52.3,222.4,0,0,0,0,0,0,8.1,33,17.1,18.6,NA,NA,NA,NA,42125,40.19109663,-80.25180083
Wyoming,2020-06-03T00:00:00Z,6,6,36,38,0,0,0,0,0,0,0,3,6,6,36.1,38,0,0,0,0,0,0,0,3,100,94.7,NA,NA,NA,NA,42131,41.51892488,-76.01813003
Venango,2020-06-03T00:00:00Z,16,48,25,64,0,0,0,0,0,0,1,13,25.6,48.4,41.6,64.4,0,0,0,0,0,0,0.1,13,33.3,39.1,NA,NA,NA,NA,42121,41.40341259,-79.76286561
Union,2020-06-03T00:00:00Z,2,8,29,62,8,8,0,0,4,0,1,25,4.6,8,25.6,62,7.9,8,0,0,2.1,0,0.9,25,25,46.8,100,NA,NA,NA,42119,40.96473131,-77.06415803
Berks,2020-06-04T00:00:00Z,20,59,133,523,22,25,0,0,30,6,19,134,18.3,57.5,115.5,525.3,19.4,24.7,0,0,51.7,5.4,19.9,133.9,33.9,25.4,88,NA,NA,NA,42011,40.41939635,-75.93077327
Centre,2020-06-04T00:00:00Z,13,24,37,131,6,6,0,0,4,0,0,26,10.8,24,34.4,116.1,5.5,6,0,0,5.6,0,1.1,26,54.2,28.2,100,NA,NA,NA,42027,40.9193135,-77.82500112
Cambria,2020-06-04T00:00:00Z,19,68,108,256,7,7,0,0,2,1,13,60,22.7,68,122.2,256,6.6,7,0,0,2.1,1,12.5,60,27.9,42.2,100,NA,NA,NA,42021,40.49127491,-78.71894174
Adams,2020-06-04T00:00:00Z,2,8,15,53,0,0,0,0,0,0,1,4,3.7,9.1,24,58.4,0,0,0,0,0.6,0,0.4,6.4,25,28.3,NA,NA,NA,NA,42001,39.87209565,-77.22224271
Bradford,2020-06-04T00:00:00Z,16,38,32,195,0,0,0,0,1,0,8,36,17.2,38,27.2,189.3,0,0,0,0,2.3,0.4,8.1,36.8,42.1,16.4,NA,NA,NA,NA,42015,41.79117814,-76.51825624
Armstrong,2020-06-04T00:00:00Z,8,12,56,81,0,0,0,0,1,0,1,6,7.5,12,50,81,0,0,0,0,1.7,0,1.4,6,66.7,69.1,NA,NA,NA,NA,42005,40.81509526,-79.47316899
Bucks,2020-06-04T00:00:00Z,20,78,274,739,14,19,0,0,45,14,29,126,37.3,78,313.8,745.4,17.2,19,0,0,51.6,14.3,27.5,126,25.6,37.1,73.7,NA,NA,NA,42017,40.33501133,-75.11291241
Beaver,2020-06-04T00:00:00Z,4,13,15,99,0,0,0,0,3,1,2,15,4.2,15.6,11.4,109.2,0,0,0,0,2.2,0.1,0.7,15,30.8,15.2,NA,NA,NA,NA,42007,40.68349245,-80.35107356
Chester,2020-06-04T00:00:00Z,56,104,108,593,11,11,0,0,53,15,21,135,55.3,105.9,141.7,588.8,9.5,11,0,0,76.4,11.7,22.2,133.1,53.8,18.2,100,NA,NA,NA,42029,39.97487056,-75.75626498
Clarion,2020-06-04T00:00:00Z,2,5,14,25,0,0,0,0,0,0,0,4,2.9,5,14.8,25,0,0,0,0,5.1,0,0,4,40,56,NA,NA,NA,NA,42031,41.19279129,-79.42483608
Clinton,2020-06-04T00:00:00Z,0,0,19,28,0,0,0,0,0,0,0,3,0,0,17.9,27.8,0,0,0,0,0,0,0,3,NA,67.9,NA,NA,NA,NA,42035,41.23286274,-77.642837599999993
Bedford,2020-06-04T00:00:00Z,4,4,24,41,0,0,0,0,0,0,0,8,4,4,26.9,40.4,0,0,0,0,0,0,0,8,100,58.5,NA,NA,NA,NA,42009,40.00737536,-78.49116474
Cameron,2020-06-04T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42023,41.43880265,-78.20916932
Blair,2020-06-04T00:00:00Z,22,142,84,249,0,12,0,0,6,3,15,38,34.4,140,91.7,244.2,0.1,12,0,0,7,3.9,15.3,38,15.5,33.7,0,NA,NA,NA,42013,40.48555024,-78.34907687
Carbon,2020-06-04T00:00:00Z,3,6,12,40,0,0,0,0,1,0,1,3,1.1,6,8.8,40,0,0,0,0,0.7,0,1.1,3,50,30,NA,NA,NA,NA,42025,40.91936701,-75.71107039
Butler,2020-06-04T00:00:00Z,17,18,68,135,0,0,0,0,2,1,9,28,13.9,18.4,88.4,115.9,0,0,0,0,2.1,0.6,4.6,28,94.4,50.4,NA,NA,NA,NA,42019,40.91083185,-79.91711779
Clearfield,2020-06-04T00:00:00Z,2,27,6,83,0,5,0,0,1,0,2,22,3.6,26.6,8.2,82.1,2.9,4.2,0,0,0.1,0,2.6,21.6,7.4,7.2,0,NA,NA,NA,42033,41.000429,-78.47558343
Allegheny,2020-06-04T00:00:00Z,155,796,786,3145,103,246,4,48,52,10,197,861,179.1,793.4,892.5,3072.4,111.9,245.7,14.2,48,53.9,12.9,194.8,860.6,19.5,25,41.9,8.3,NA,NA,42003,40.46735543,-79.98619843
Fayette,2020-06-04T00:00:00Z,9,15,82,127,0,0,0,0,0,0,6,23,8.9,15,88.1,127,0,0,0,0,0,0,6,23,60,64.6,NA,NA,NA,NA,42051,39.9194478,-79.65189635
Franklin,2020-06-04T00:00:00Z,13,34,89,219,5,6,0,0,13,6,11,24,12.1,34,95.8,219,5.4,6,0,0,26.1,7.1,11.3,24,38.2,40.6,83.3,NA,NA,NA,42055,39.92786197,-77.72398845
Delaware,2020-06-04T00:00:00Z,18,83,116,500,2,8,0,0,50,11,55,168,23.1,81.3,131.5,506.4,2.3,6.6,0,0,88,18.8,59.6,167.6,21.7,23.2,25,NA,NA,NA,42045,39.91657867,-75.40627712
Huntingdon,2020-06-04T00:00:00Z,7,7,42,50,0,0,0,0,0,0,0,4,5.4,7,38,50,0,0,0,0,0,0,0,4,100,84,NA,NA,NA,NA,42061,40.416105,-77.9827661
Elk,2020-06-04T00:00:00Z,5,7,4,19,0,0,0,0,0,0,0,5,6.2,7,4,19,0,0,0,0,0,0,0,5,71.4,21.1,NA,NA,NA,NA,42047,41.42819416,-78.64947713
Cumberland,2020-06-04T00:00:00Z,43,88,47,348,0,4,0,0,30,4,23,79,45.1,88,61.4,348,0,4,0,0,26.1,4.6,20.1,77.4,48.9,13.5,0,NA,NA,NA,42041,40.16759839,-77.26866271
Juniata,2020-06-04T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42067,40.53433008,-77.405775
Fulton,2020-06-04T00:00:00Z,0,0,12,21,0,0,0,0,0,0,0,4,0,0,7.4,21,0,0,0,0,0,0,0,4,NA,57.1,NA,NA,NA,NA,42057,39.92487511,-78.11485045
Indiana,2020-06-04T00:00:00Z,4,12,47,102,0,0,0,0,1,1,3,22,5.5,12,46.3,102,0,0,0,0,0.6,0.3,1.3,22,33.3,46.1,NA,NA,NA,NA,42063,40.65295497,-79.09333493
Greene,2020-06-04T00:00:00Z,0,0,3,12,0,0,0,0,0,0,0,5,0,0,6.3,14.5,0,0,0,0,0,0,0,5,NA,25,NA,NA,NA,NA,42059,39.85480393,-80.22943817
Columbia,2020-06-04T00:00:00Z,13,14,32,37,0,0,0,0,0,0,0,12,10.4,13.4,27.4,34.4,0,0,0,0,0,0,0,12,92.9,86.5,NA,NA,NA,NA,42037,41.04912086,-76.4100218
Sullivan,2020-06-04T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42113,41.4480994,-76.5147922
Forest,2020-06-04T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42053,41.51357876,-79.23780995
Crawford,2020-06-04T00:00:00Z,5,18,73,138,5,6,0,0,0,0,2,24,8.4,18,86.7,138,5.4,6,0,0,0,0,0.9,24,27.8,52.9,83.3,NA,NA,NA,42039,41.68546907,-80.11321083
Erie,2020-06-04T00:00:00Z,36,170,124,517,4,19,0,0,13,2,45,157,43.5,170,141.4,525.8,11.4,19,0,0,10.5,1.5,41.7,156.1,21.2,24,21.1,NA,NA,NA,42049,41.99413787,-80.0407591
Dauphin,2020-06-04T00:00:00Z,28,185,11,454,10,70,3,18,50,12,67,139,42.3,184.1,49.1,450,14.8,69.4,6.4,18,50.1,9.6,57.9,139.9,15.1,2.4,14.3,16.7,NA,NA,42043,40.41974636,-76.77960568
Jefferson,2020-06-04T00:00:00Z,4,5,35,60,0,0,0,0,0,0,0,17,3.4,5,41.6,60,0,0,0,0,0,0,0,17,80,58.3,NA,NA,NA,NA,42065,41.13139091,-79.00101814
Northampton,2020-06-04T00:00:00Z,7,21,18,144,0,0,0,0,11,0,4,25,8.9,21,18.9,143.6,0,0,0,0,14.6,0,2.2,25,33.3,12.5,NA,NA,NA,NA,42095,40.7545954,-75.31263726
McKean,2020-06-04T00:00:00Z,4,10,21,38,13,29,0,0,0,0,0,8,4,10,23.4,38,15.2,29,0,0,0,0,0.3,8,40,55.3,44.8,NA,NA,NA,42083,41.81037074,-78.5712202
Lawrence,2020-06-04T00:00:00Z,5,12,54,111,0,0,0,0,0,0,4,24,5.5,11.8,60.4,109.5,0,0,0,0,0.6,0.2,7.6,24,41.7,48.6,NA,NA,NA,NA,42073,40.99325035,-80.33754114
Monroe,2020-06-04T00:00:00Z,3,36,22,240,1,16,0,0,1,0,6,24,4,36,18,240,0.3,16,0,0,5.1,0.3,3.6,24,8.3,9.2,6.2,NA,NA,NA,42089,41.06091787,-75.34083603
Lackawanna,2020-06-04T00:00:00Z,13,68,24,335,8,22,0,0,13,2,16,119,11.6,58.6,34.4,332.3,7.5,22,0,0,20.9,4.4,14.3,119,19.1,7.2,36.4,NA,NA,NA,42069,41.43910064,-75.61218345
Lebanon,2020-06-04T00:00:00Z,7,18,29,108,0,0,0,0,7,0,1,12,9.7,18.1,42.3,105.2,0,0,0,0,7.9,0.9,1.2,12.6,38.9,26.9,NA,NA,NA,NA,42075,40.367597,-76.46182575
Lycoming,2020-06-04T00:00:00Z,5,56,103,207,2,7,0,0,4,0,3,40,9.2,56,105.3,207.9,1.9,7,0,0,5.7,0.4,3,40,8.9,49.8,28.6,NA,NA,NA,42081,41.34459792,-77.06942457
Lancaster,2020-06-04T00:00:00Z,13,89,113,515,21,29,0,0,51,8,28,172,18.4,90.8,143.1,523.6,24.3,29,0,0,53.4,7.3,29.5,169.2,14.6,21.9,72.4,NA,NA,NA,42071,40.04590796,-76.25138768
Luzerne,2020-06-04T00:00:00Z,22,78,71,382,6,7,0,0,19,1,15,133,16.6,89.6,68.4,383.1,5.1,7,0,0,38.1,4,16.1,133,28.2,18.6,85.7,NA,NA,NA,42079,41.17836439,-75.9919961
Montgomery,2020-06-04T00:00:00Z,141,342,346,1480,30,35,0,0,184,51,91,306,130.6,353.8,383.1,1414.9,27.7,31.1,0,0,211.6,54.1,95.9,306,41.2,23.4,85.7,NA,NA,NA,42091,40.20989874,-75.37252001
Montour,2020-06-04T00:00:00Z,16,116,93,267,9,36,7,14,13,4,28,187,23.3,124,52.1,267,8.1,36,7.6,14,14.7,2.8,29.9,187,13.8,34.8,25,50,NA,NA,42093,41.02801824,-76.66470527
Mifflin,2020-06-04T00:00:00Z,21,39,35,58,0,0,0,0,0,0,2,15,14.1,26.6,38.2,70.4,0,0,0,0,0,0,1.6,15,53.8,60.3,NA,NA,NA,NA,42087,40.61274928,-77.62003089
Lehigh,2020-06-04T00:00:00Z,15,172,79,1114,17,89,4,13,96,18,67,236,26.9,177.6,118.2,1136.3,23.6,89,4.7,13,117.4,18.4,66.9,236,8.7,7.1,19.1,30.8,NA,NA,42077,40.61464794,-75.60099481
Mercer,2020-06-04T00:00:00Z,20,34,216,314,0,0,0,0,0,0,0,45,21.1,34,228.6,310.2,0,0,0,0,0.4,0,0,45,58.8,68.8,NA,NA,NA,NA,42085,41.30237777,-80.26009411
Northumberland,2020-06-04T00:00:00Z,5,7,22,40,0,0,0,0,0,0,1,4,3.4,7,21.8,40,0,0,0,0,0.3,0,1,4,71.4,55,NA,NA,NA,NA,42097,40.85150926,-76.71188423
Schuylkill,2020-06-04T00:00:00Z,3,16,19,123,7,9,0,0,2,0,3,10,4.9,16,25.5,123,6,9,0,0,4.9,0,3,10,18.8,15.4,77.8,NA,NA,NA,42107,40.70751243,-76.22332385
Pike,2020-06-04T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42103,41.332572,-75.03270924
Potter,2020-06-04T00:00:00Z,3,6,26,39,0,0,0,0,0,0,0,8,4.7,6,28.1,39,0,0,0,0,0,0,0,8,50,66.7,NA,NA,NA,NA,42105,41.74420644,-77.89879229
Somerset,2020-06-04T00:00:00Z,31,46,98,136,0,0,0,0,1,0,0,18,33.7,46,107.3,136,0,0,0,0,1,0,0,21.9,67.4,72.1,NA,NA,NA,NA,42111,39.97146299,-79.03100206
Perry,2020-06-04T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42099,40.40415317,-77.25907385
Philadelphia,2020-06-04T00:00:00Z,192,833,982,3690,51,102,52,260,352,91,394,1444,191.8,856,978.3,3862.2,53,93.4,40.9,254.5,445.8,115.5,404,1461,23,26.6,50,20,NA,NA,42101,40.00444354,-75.140236
Snyder,2020-06-04T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42109,40.77113737,-77.07255968
Tioga,2020-06-04T00:00:00Z,1,6,24,44,0,0,0,0,1,0,0,27,3.4,6,27.3,43.4,0,0,0,0,0.1,0,0,27,16.7,54.5,NA,NA,NA,NA,42117,41.77333834,-77.25788076
Venango,2020-06-04T00:00:00Z,25,48,30,64,0,0,0,0,0,0,1,13,25.5,48.4,40.9,64.2,0,0,0,0,0,0,0.1,13,52.1,46.9,NA,NA,NA,NA,42121,41.40341259,-79.76286561
Warren,2020-06-04T00:00:00Z,3,6,11,24,2,2,0,0,0,0,0,3,1.5,6,4.3,23.6,1.7,2,0,0,0,0,0,3,50,45.8,100,NA,NA,NA,42123,41.81675237,-79.27858158
Westmoreland,2020-06-04T00:00:00Z,37,79,66,343,0,0,0,0,1,0,10,89,39.6,79,131.5,343,0,0,0,0,1.6,0.1,9,89,46.8,19.2,NA,NA,NA,NA,42129,40.310315,-79.47134118
Washington,2020-06-04T00:00:00Z,9,41,71,259,0,0,0,0,0,0,8,32,11.8,39.3,53.1,224.9,0,0,0,0,0,0,8,32.9,22,27.4,NA,NA,NA,NA,42125,40.19109663,-80.25180083
Susquehanna,2020-06-04T00:00:00Z,0,0,22,46,0,0,0,0,1,0,0,3,0,0,23.4,46,0,0,0,0,0.6,0,0,3,NA,47.8,NA,NA,NA,NA,42115,41.8205686,-75.80250303
York,2020-06-04T00:00:00Z,14,105,68,527,12,19,0,0,29,4,38,135,27.4,106.4,108.4,523.3,14.9,19,0,0,26,4.1,36.6,139,13.3,12.9,63.2,NA,NA,NA,42133,39.92192531,-76.72576052
Union,2020-06-04T00:00:00Z,4,8,14,62,8,8,0,0,5,0,1,25,4.5,8,25.9,62,7.9,8,0,0,2.5,0,0.9,25,50,22.6,100,NA,NA,NA,42119,40.96473131,-77.06415803
Wyoming,2020-06-04T00:00:00Z,6,6,36,38,0,0,0,0,0,0,0,3,6,6,36.1,38,0,0,0,0,0,0,0,3,100,94.7,NA,NA,NA,NA,42131,41.51892488,-76.01813003
