State,PriorBirthsNowDeceased,TobaccoUse,PrePregnancyDiabetes,PrePregnancyHypertension,Births,AverageMotherAge,AverageBirthWeight,AveragePrePregnancyBMI,AverageNumberPrenatalVisits,AverageIntervalSinceLastBirth,id
Michigan,0,Unknown,No,No,866,28.6,3098.19,27.46,12.44,50.25,381
Michigan,0,Unknown,Unknown,Unknown,13,25.62,2689.33,30.4,1.33,49.43,382
Michigan,1,Yes,No,Yes,13,31.54,2724.33,38.21,12.92,48.5,383
Michigan,1,Yes,No,No,205,28.88,2871.99,27.8,10.91,49.81,384
Michigan,1,No,Yes,No,16,33.19,2993.31,30.63,12,63.81,385
Michigan,1,No,No,Yes,41,32.2,2862.03,33.95,13.98,55.22,386
Michigan,1,No,No,No,880,30.27,3121.72,29.16,12.18,45.11,387
Michigan,1,Unknown,No,No,11,28.27,2656.27,32.46,9.88,29.78,388
Michigan,2,Yes,No,No,19,29.47,2715.58,26.9,8.32,47.56,389
Michigan,2,No,No,No,136,30.82,3092.78,29.57,11.64,47.54,390
Michigan,3,No,No,No,21,32.14,3126.05,28.56,10.95,55.68,391
Michigan,Unknown,No,No,No,49,29.63,3352.2,24.79,8.81,41.2,392
Michigan,Unknown,Unknown,No,No,17,26,2882.44,27.66,10,20.67,393
Michigan,Unknown,Unknown,Unknown,Unknown,14,29.29,2922.46,30.1,0.25,NA,394
Minnesota,0,Yes,Yes,Yes,12,32.67,2703.83,34.15,11.75,83.75,395
Minnesota,0,Yes,Yes,No,48,30.85,3079.65,32.19,11.56,76.64,396
Minnesota,0,Yes,No,Yes,118,31.57,2914.67,35.43,10.55,72.92,397
Minnesota,0,Yes,No,No,4409,28.02,3157.05,28.55,10.06,55.52,398
Minnesota,0,No,Yes,Yes,49,33.37,2952.73,34.6,13.82,89.37,399
Minnesota,0,No,Yes,No,519,31.38,3388.58,31.97,14.05,57.53,400
Minnesota,0,No,No,Yes,952,32.31,3095.4,33.85,12.9,55.52,401
Minnesota,0,No,No,No,58913,30.05,3361.15,27.21,11.56,43.07,402
Minnesota,0,No,Unknown,Unknown,22,28.23,3088.59,26.38,7.11,41.5,403
Minnesota,0,Unknown,No,No,76,28.22,3175.31,28.24,9.3,45.64,404
Minnesota,1,Yes,No,No,74,30.7,3115.05,29.46,8.72,51.79,405
Minnesota,1,No,No,Yes,19,34.32,3006.37,33.57,11.79,47.95,406
Minnesota,1,No,No,No,579,31.7,3309.97,29.35,11.23,44.15,407
Minnesota,2,No,No,No,61,32.34,3363.15,30.36,10.13,43.05,408
Minnesota,3,No,No,No,12,32.17,3184.25,32.56,8.82,36.83,409
Minnesota,Unknown,No,No,No,42,29.71,3373.39,23.65,5.49,27.91,410
Minnesota,Unknown,No,Unknown,Unknown,50,31.72,3323.74,19.6,2,19,411
Mississippi,0,Yes,Yes,No,22,30.27,3426,33.4,11.64,61.94,412
Mississippi,0,Yes,No,Yes,119,30.46,2733.08,32.66,10.95,71.81,413
Mississippi,0,Yes,No,No,2890,27.05,2963.53,27.74,10.36,53.73,414
Mississippi,0,No,Yes,Yes,76,31.55,3202.08,41.06,14.79,69.94,415
Mississippi,0,No,Yes,No,234,28.48,3339.76,33.74,13.47,55.05,416
Mississippi,0,No,No,Yes,1315,29.94,2914.2,35.74,13,63.04,417
Mississippi,0,No,No,No,31413,26.79,3156.36,28.64,11.72,50.46,418
Mississippi,0,Unknown,No,No,48,26.33,2940.81,26.46,8.84,39.35,419
Mississippi,1,Yes,No,No,73,30.4,2919.29,29.16,9.99,54.76,420
Mississippi,1,No,No,Yes,27,29.59,2645.81,32.58,14.74,46.24,421
Mississippi,1,No,No,No,340,28.38,2984.44,30.04,12.09,45.89,422
Mississippi,2,No,No,No,25,30.48,3025.44,32.24,11.44,41.58,423
Missouri,0,Yes,Yes,Yes,20,34.05,2988.2,35.08,10.45,72.77,424
Missouri,0,Yes,Yes,No,67,29.45,3080.06,33.56,12.22,58,425
Missouri,0,Yes,No,Yes,279,30.48,2826.05,32.01,9.51,68.51,426
Missouri,0,Yes,No,No,8529,27.07,3077.11,27.09,9.46,52.63,427
Missouri,0,No,Yes,Yes,152,32.36,2980.88,38.31,12.21,71.02,428
Missouri,0,No,Yes,No,488,29.42,3291.42,32.19,12.46,57.66,429
Missouri,0,No,No,Yes,1727,30.23,2975.37,34.06,11.42,55.29,430
Missouri,0,No,No,No,59061,28.27,3298.97,27.32,11.01,44.7,431
Missouri,0,Unknown,No,Yes,18,30.94,2598.17,37.15,8.39,76.31,432
Missouri,0,Unknown,No,No,522,27.77,3160.91,28.13,9.42,46.74,433
Missouri,1,Yes,No,No,181,29.67,2983.48,27.66,7.75,47.76,434
Missouri,1,No,No,Yes,43,31.84,2761.84,34.39,11.32,51.49,435
Missouri,1,No,No,No,664,30.28,3206.06,28.88,10.7,41.43,436
Missouri,1,Unknown,No,No,11,29.27,2887.2,25.31,6.38,68,437
Missouri,2,Yes,No,No,16,29.88,2559.06,29.2,8.81,57.9,438
Missouri,2,No,No,No,59,31.19,3207.22,29.39,11.37,45.2,439
Missouri,3,No,No,No,15,31,3126,29.76,11.47,50.45,440
Missouri,Unknown,Yes,No,No,34,29.35,2796.03,25.66,3.32,35.5,441
Missouri,Unknown,No,No,No,145,30.24,3146.24,27.52,9.54,56.07,442
Missouri,Unknown,Unknown,No,No,10,27.7,2930,23.5,4.71,91,443
Montana,0,Yes,No,Yes,17,31.76,3189.53,32.17,10.88,65.92,444
Montana,0,Yes,No,No,1386,27.1,3122.7,27.4,9.68,55.97,445
Montana,0,No,Yes,Yes,10,32.1,2601.9,46.31,11.9,49.4,446
Montana,0,No,Yes,No,83,29.07,3361.35,32.69,12.47,52.07,447
Montana,0,No,No,Yes,110,31.93,3116.75,34.28,12.02,60.16,448
Montana,0,No,No,No,9254,28.81,3308.54,26.71,11.22,43.34,449
Montana,1,Yes,No,No,32,29.91,3040.84,27.95,8.56,54.19,450
Montana,1,No,No,No,108,30.03,3281.06,28.13,11.7,44.32,451
Montana,2,No,No,No,21,29.48,3211.48,28.03,12.24,40.61,452
Nebraska,0,Yes,Yes,No,24,28.42,3329.88,32.59,13.08,45.59,453
Nebraska,0,Yes,No,Yes,55,30.87,2696.29,34.5,12.55,70.82,454
Nebraska,0,Yes,No,No,1945,27.52,3133.51,28.07,10.75,53.54,455
Nebraska,0,No,Yes,Yes,40,33.52,3036.9,40.67,12.1,68.33,456
Nebraska,0,No,Yes,No,217,31.01,3289.49,32.21,13.05,58.74,457
Nebraska,0,No,No,Yes,476,31.3,3026.77,34.29,13.83,50.9,458
Nebraska,0,No,No,No,21618,28.9,3322.96,26.89,11.54,45.58,459
Nebraska,0,No,Unknown,Unknown,21,27.05,3080.05,25.32,4.18,48.5,460
Nebraska,0,Unknown,No,No,19,29,2846.11,28.01,8.05,50.1,461
Nebraska,1,Yes,No,No,36,29.25,3109.75,27.59,10.44,51.55,462
Nebraska,1,No,No,No,195,30.94,3240.45,27.62,11.8,47.33,463
Nebraska,2,No,No,No,16,33.25,3104.38,27.02,12,46.87,464
Nebraska,Unknown,No,No,No,38,28.92,3230.34,27.04,11.15,69.5,465
Nevada,0,Yes,Yes,No,11,31.82,3094.64,31.58,9.55,61.09,466
Nevada,0,Yes,No,Yes,21,32.33,2838.14,33.33,10.75,76.29,467
Nevada,0,Yes,No,No,1165,28.6,3022.02,25.95,9.28,59.51,468
Nevada,0,No,Yes,Yes,43,33.84,2733.23,36.83,12.54,74.23,469
Nevada,0,No,Yes,No,347,31.57,3139.13,30.96,13.52,70.85,470
Nevada,0,No,No,Yes,414,32.25,2923.54,32.53,13.62,68.17,471
Nevada,0,No,No,No,32402,28.77,3223.94,26.87,11.44,53.08,472
Nevada,0,Unknown,No,No,375,28.53,3100.03,27.04,7.52,54.52,473
Nevada,1,Yes,No,No,16,33,2861.75,26.09,9.5,39.31,474
Nevada,1,No,No,No,212,30.81,3059.6,27.99,11.91,47.55,475
Nevada,Unknown,No,No,No,26,30.69,2803.88,25.64,7.42,71.22,476
New Hampshire,0,Yes,No,Yes,21,31.52,2948.33,33.96,14.33,81.33,477
New Hampshire,0,Yes,No,No,973,27.86,3143.81,27.42,11.61,60.08,478
New Hampshire,0,No,Yes,Yes,13,32.77,2983.38,37.2,15,64.71,479
New Hampshire,0,No,Yes,No,68,31.99,3394.49,32.76,15.68,55.14,480
New Hampshire,0,No,No,Yes,165,31.97,3149.09,33.42,14.67,53.84,481
New Hampshire,0,No,No,No,10358,30.16,3380.36,26.96,12.81,45.45,482
New Hampshire,0,No,Unknown,Unknown,30,28.5,3281.07,26.02,8.87,40.44,483
New Hampshire,0,Unknown,No,No,48,28.98,3236.5,25.31,12.91,62.1,484
New Hampshire,1,Yes,No,No,18,31.28,2813.22,29.64,11.28,53.18,485
New Hampshire,1,No,No,No,67,32.13,3320.1,27.77,13.55,46.43,486
New Hampshire,Unknown,No,No,No,28,29.32,3229.61,26.16,12.25,61.75,487
New Jersey,0,Yes,Yes,Yes,11,33.18,2822.82,33.37,10.09,120.5,488
New Jersey,0,Yes,Yes,No,31,32.06,3120.55,33.51,11.94,63.65,489
New Jersey,0,Yes,No,Yes,113,32.42,2680.43,30.89,8.81,63.34,490
New Jersey,0,Yes,No,No,2541,29.34,3053.07,27.4,8.68,62.53,491
New Jersey,0,No,Yes,Yes,101,35.36,2827.15,33.71,11.47,68.08,492
New Jersey,0,No,Yes,No,696,32.15,3289.37,30.55,11.68,65.24,493
New Jersey,0,No,No,Yes,1859,33.35,2980.24,32.23,10.83,66.8,494
New Jersey,0,No,No,No,92697,30.65,3270.54,26.38,10.76,51.6,495
New Jersey,0,Unknown,No,No,628,30.61,3236.4,25.7,5.81,46.83,496
New Jersey,1,Yes,No,No,38,30.5,2912.32,30.24,7.58,63.82,497
New Jersey,1,No,No,Yes,10,36.6,2972.6,32.6,11.8,79,498
New Jersey,1,No,No,No,583,32.04,3192.58,27.45,10.13,52.65,499
New Jersey,2,No,No,No,39,32.77,2787.62,27.68,8.55,80.94,500
New Jersey,3,No,No,No,10,31.6,3223,26.46,13.3,53.22,501
New Jersey,Unknown,No,No,No,79,32.1,3358.25,24.79,10.48,27,502
New Jersey,Unknown,Unknown,No,No,101,30.25,3210,NA,0,NA,503
New Mexico,0,Yes,Yes,No,13,33,3157.08,32.59,9.46,63.56,504
New Mexico,0,Yes,No,Yes,33,31.09,2860.55,29.79,8.06,88.1,505
New Mexico,0,Yes,No,No,1146,27.36,2955.69,26.54,7.97,56.33,506
New Mexico,0,No,Yes,Yes,62,30.39,2945.5,35.73,9.06,67.75,507
New Mexico,0,No,Yes,No,343,30.83,3220.27,31.88,10.92,62.71,508
New Mexico,0,No,No,Yes,469,29.69,2975.31,31.79,8.81,64.27,509
New Mexico,0,No,No,No,20519,27.71,3188.76,27.32,9.8,51.85,510
New Mexico,0,Unknown,No,No,74,28.76,3022.41,26.49,6.85,43.47,511
New Mexico,1,Yes,No,No,14,27.36,2913.86,25.33,6.86,36.31,512
New Mexico,1,No,No,Yes,10,34,2366.3,30.97,9.7,65,513
New Mexico,1,No,No,No,196,29.33,3193.42,28.02,10.14,45.73,514
New Mexico,2,No,No,No,15,29.4,3111.53,28.45,10,50.36,515
New Mexico,Unknown,No,No,No,27,29.26,3168.63,26.86,6.07,43.86,516
New York,0,Yes,Yes,Yes,40,32.92,2772.75,34.79,11.71,86.04,517
New York,0,Yes,Yes,No,87,29.7,3169.57,32.59,11.33,60.23,518
New York,0,Yes,No,Yes,257,31.11,2923.33,33.76,10.82,70.53,519
New York,0,Yes,No,No,8240,28.24,3117.16,28.28,10.42,57.75,520
New York,0,No,Yes,Yes,296,34.19,2967.84,35.54,12.98,76.89,521
New York,0,No,Yes,No,1572,31.95,3287.07,30.96,12.66,63.68,522
New York,0,No,No,Yes,4138,32.91,2946.37,33.05,11.78,67.1,523
New York,0,No,No,No,203652,30.36,3269.69,26.27,11.29,51.45,524
New York,0,No,Unknown,Unknown,158,28.96,3091.68,25.62,9.29,50.23,525
New York,0,Unknown,No,Yes,22,32.95,2820.5,39.72,10.16,79.5,526
New York,0,Unknown,No,No,288,28.08,2960.07,27.94,9.07,55,527
New York,1,Yes,No,Yes,11,35.45,2720.27,32.91,10.6,45.83,528
New York,1,Yes,No,No,143,29.29,2940.23,27.29,9.56,53.55,529
New York,1,No,Yes,Yes,11,38.18,2934.73,38.21,14,75.45,530
New York,1,No,Yes,No,40,34.33,3236.25,32.87,13.87,62.34,531
New York,1,No,No,Yes,64,34.8,2729.98,33.92,11.94,60.09,532
New York,1,No,No,No,1555,32.01,3138.46,27.8,10.52,49.68,533
New York,2,Yes,No,No,10,36.9,2233.33,29.76,7,68.11,534
New York,2,No,No,No,127,33.54,3079.24,27.59,10.65,45.39,535
New York,3,No,No,No,24,33.75,3164.62,25.83,10.22,66.15,536
New York,Unknown,Yes,No,No,20,30.85,2677.3,25.84,4.31,82.5,537
New York,Unknown,No,No,Yes,10,34.8,2666.5,30.1,8.86,41.2,538
New York,Unknown,No,No,No,394,30.05,3170.19,25.54,7.58,45.48,539
New York,Unknown,No,Unknown,Unknown,317,29.17,3387.25,28.97,6.29,48.25,540
North Carolina,0,Yes,Yes,Yes,25,33.04,2858.24,40.25,12.32,71.88,541
North Carolina,0,Yes,Yes,No,75,29.93,3057.61,32.06,15.32,53.53,542
North Carolina,0,Yes,No,Yes,258,31.66,2763.51,32.64,11.9,75.38,543
North Carolina,0,Yes,No,No,8445,27.66,3013.5,27.09,10.27,57,544
North Carolina,0,No,Yes,Yes,224,33.06,2877.73,36.35,16.08,75.3,545
North Carolina,0,No,Yes,No,1009,30.6,3299.47,32.37,14.88,61.94,546
North Carolina,0,No,No,Yes,2753,30.58,3013.24,34.31,13.83,61.77,547
North Carolina,0,No,No,No,104787,28.56,3264.35,27.31,12.29,51.24,548
North Carolina,0,Unknown,No,No,39,29.54,2959.95,26.98,8.32,29.25,549
North Carolina,1,Yes,No,No,147,29.29,2785.75,27.26,10.48,50.99,550
North Carolina,1,No,No,Yes,40,32.38,2769.07,35.42,14.13,49.73,551
North Carolina,1,No,No,No,740,30.74,3037.47,29.54,12.74,49.42,552
North Carolina,2,Yes,No,No,13,31.54,2738,29.54,7.92,43.82,553
North Carolina,2,No,No,No,62,31,2982.61,29.88,10.97,43.67,554
North Carolina,3,No,No,No,15,29.87,3117.87,26.26,10.67,63.29,555
North Carolina,Unknown,No,No,No,27,27.22,3227.96,27.8,11.67,NA,556
North Dakota,0,Yes,Yes,No,12,31.58,3171.58,35.24,9,82.33,557
North Dakota,0,Yes,No,Yes,15,30.53,2864.6,33.1,7.64,45.55,558
North Dakota,0,Yes,No,No,1042,27.43,3191.38,28.83,8.89,50.64,559
North Dakota,0,No,Yes,Yes,12,33.33,3273.25,37.31,13.25,31.29,560
North Dakota,0,No,Yes,No,70,29.71,3532.01,31.24,13.01,56.42,561
North Dakota,0,No,No,Yes,173,31.58,3074.75,34.62,11.76,49.53,562
North Dakota,0,No,No,No,8870,28.78,3352.03,27.83,10.71,41.71,563
North Dakota,0,Unknown,No,No,87,29.71,3146.52,28.55,9.14,43.28,564
North Dakota,1,Yes,No,No,19,28.74,3353.53,29.72,8.25,41.25,565
North Dakota,1,No,No,No,93,30.08,3211.05,28.2,11.07,41.77,566
North Dakota,2,No,No,No,19,30.95,3400.16,28.13,8.95,45.29,567
Ohio,0,Yes,Yes,Yes,43,32.16,2718.63,38.13,13.34,80.9,568
Ohio,0,Yes,Yes,No,145,28.14,3076.15,33.09,12.46,59.34,569
Ohio,0,Yes,No,Yes,563,30.13,2899.99,33.84,11.26,64.5,570
Ohio,0,Yes,No,No,14708,27.05,3050.37,27.14,10.11,52.87,571
Ohio,0,No,Yes,Yes,299,31.87,3132.82,38.92,14.58,67.31,572
Ohio,0,No,Yes,No,995,30.04,3276.34,32.71,14.37,57.81,573
Ohio,0,No,No,Yes,3663,30.57,3048.89,34.79,12.88,55.63,574
Ohio,0,No,No,No,111563,28.47,3292.82,27.37,11.74,44.47,575
Ohio,0,Unknown,No,No,127,28.27,2751.08,27.72,8.46,47.8,576
Ohio,1,Yes,No,No,299,29.35,2840.13,27.4,9,51.2,577
Ohio,1,No,Yes,No,19,31.84,3333.95,34.61,13.21,35.67,578
Ohio,1,No,No,Yes,61,31.26,2892.8,34.46,13.66,43.09,579
Ohio,1,No,No,No,1171,30.13,3161.86,28.76,11.26,41.98,580
Ohio,2,Yes,No,No,32,29.38,3026.75,27.25,9,58,581
Ohio,2,No,No,No,133,31.05,3207.6,29.16,11.11,49.66,582
Ohio,3,Yes,No,No,12,29.92,2814.92,29.3,9.33,55.45,583
Ohio,3,No,No,No,36,30.64,3210.72,26.81,11.2,49.94,584
Ohio,4,No,No,No,17,32.06,3316.53,26.6,10.18,60.12,585
Ohio,5,No,No,No,17,29.06,3379.35,26.36,9.59,31.59,586
Ohio,6,No,No,No,31,30.87,3392.06,27.34,11.03,41,587
Ohio,7,No,No,No,17,31.76,3263.65,25.46,10.59,46.88,588
Ohio,8,No,No,No,25,29.8,3226.24,27.5,9.28,60.3,589
Ohio,9,No,No,No,28,28.68,3300.36,28.55,11.21,55.42,590
Ohio,10,No,No,No,19,30.95,3220.95,26.71,10,40.37,591
Ohio,11,No,No,No,15,29.8,3354.6,26.32,11.87,41.79,592
Ohio,12,No,No,No,13,29.92,2948.92,25.37,10.46,45,593
Ohio,Unknown,Yes,No,No,41,27.46,2941.73,28.2,7.23,42.92,594
Ohio,Unknown,No,No,No,223,29.19,3175.66,27.4,10.49,44.59,595
Ohio,Unknown,Unknown,No,No,26,27.65,2142.89,20.25,0,31,596
Oklahoma,0,Yes,Yes,Yes,11,31.45,2876.73,35.07,9.64,55.86,597
Oklahoma,0,Yes,Yes,No,47,29.49,3016.94,34.2,9.72,62.03,598
Oklahoma,0,Yes,No,Yes,132,31.05,2888.11,33.78,10.5,69.9,599
Oklahoma,0,Yes,No,No,4413,26.56,3087.41,27.41,9.45,50.49,600
Oklahoma,0,No,Yes,Yes,94,31.52,3064.68,37.49,12.34,77.94,601
Oklahoma,0,No,Yes,No,391,30.19,3362.35,32.77,12.78,58.45,602
Oklahoma,0,No,No,Yes,1226,29.73,3054.67,33.8,11.86,57.54,603
Oklahoma,0,No,No,No,41967,27.38,3278.64,27.78,11.14,47.42,604
Oklahoma,0,Unknown,No,No,25,26.88,3160.64,29.76,9.71,54.2,605
Oklahoma,1,Yes,No,No,119,28.39,2988.86,27.25,7.8,41.93,606
Oklahoma,1,No,No,Yes,20,31.3,2786.65,33.29,12.35,67.56,607
Oklahoma,1,No,No,No,504,28.83,3200.47,28.98,10.56,43.52,608
Oklahoma,2,Yes,No,No,17,29.71,3095.76,25.44,9.41,61.4,609
Oklahoma,2,No,No,No,75,29.31,3236.96,27.92,10.45,47.45,610
Oklahoma,3,No,No,No,19,30.21,3301.21,29.26,12.84,63.12,611
Oklahoma,Unknown,No,No,No,30,29.7,2987.67,25.66,8.44,31.5,612
Oregon,0,Yes,Yes,No,34,31.09,3194.5,33.13,13.32,104.9,613
Oregon,0,Yes,No,Yes,85,30.88,2917.07,33.56,11.39,65.13,614
Oregon,0,Yes,No,No,2916,27.6,3163.22,27.14,10.42,58.56,615
Oregon,0,No,Yes,Yes,69,33.32,2926.87,36.59,15.36,65.05,616
Oregon,0,No,Yes,No,338,31.21,3325.44,32.22,14.38,64.51,617
Oregon,0,No,No,Yes,906,31.5,3145.14,34.48,13.67,60.74,618
Oregon,0,No,No,No,36834,29.63,3353.14,26.86,11.88,48.55,619
Oregon,0,Unknown,No,No,121,28,3264.71,27.32,10.03,48.24,620
Oregon,1,Yes,No,No,49,29.08,3076.69,26.29,9.71,50.39,621
Oregon,1,No,Yes,No,11,32.82,3508.82,33.95,14.82,51.7,622
Oregon,1,No,No,Yes,17,31.47,2443.53,31.69,13.41,42.64,623
Oregon,1,No,No,No,343,31.34,3277.89,28.51,12.33,49.65,624
Oregon,2,No,No,No,39,32.82,3360.64,29.94,12.28,46.29,625
Oregon,Unknown,Yes,No,No,10,25.8,3006.4,20.41,7.12,57.57,626
Oregon,Unknown,No,No,No,40,28.55,3361.15,28.3,12.06,44.39,627
Pennsylvania,0,Yes,Yes,Yes,24,33,2966.88,38.08,15.45,69.64,628
Pennsylvania,0,Yes,Yes,No,111,29.75,3190.2,32.56,13.38,70.25,629
Pennsylvania,0,Yes,No,Yes,297,31.37,2813.32,32.38,11.18,72.11,630
Pennsylvania,0,Yes,No,No,11695,27.9,3064.97,27.12,10.51,55.63,631
Pennsylvania,0,No,Yes,Yes,181,32.98,2996.51,37.11,13.49,75.07,632
Pennsylvania,0,No,Yes,No,851,30.28,3369.76,31.43,13.66,57.59,633
Pennsylvania,0,No,No,Yes,2431,31.09,3047.4,34.32,12.87,57.61,634
Pennsylvania,0,No,No,No,113906,29.4,3300.28,26.96,11.66,46.07,635
Pennsylvania,0,Unknown,Yes,No,23,29.83,3255.74,30.24,13.95,53.43,636
Pennsylvania,0,Unknown,No,Yes,70,30.56,2873.93,35.26,9.45,55.52,637
Pennsylvania,0,Unknown,No,No,2349,28.1,3144.19,27.63,10.1,52.57,638
Pennsylvania,1,Yes,No,No,189,29.97,2970.54,27.4,9.88,44.06,639
Pennsylvania,1,No,Yes,No,13,31.08,3103.77,34.57,12.5,40.3,640
Pennsylvania,1,No,No,Yes,38,31.92,2906.18,35.97,11.89,35.09,641
Pennsylvania,1,No,No,No,1018,30.85,3105.43,28.06,11.21,43.57,642
Pennsylvania,1,Unknown,No,No,40,30.85,2838.23,28.78,9.12,60.79,643
Pennsylvania,2,Yes,No,No,13,27.69,2326.77,28,9,36.88,644
Pennsylvania,2,No,No,No,119,33.05,3066.89,28.81,10.89,47.56,645
Pennsylvania,3,No,No,No,22,30.09,3436.86,28.73,8.61,34,646
Pennsylvania,Unknown,Yes,No,No,89,28.75,2948.1,25.33,7.13,54.83,647
Pennsylvania,Unknown,No,No,Yes,16,35.69,3039.38,30.22,9.07,64.71,648
Pennsylvania,Unknown,No,No,No,544,29.46,3265.57,27.1,10.19,44.56,649
Pennsylvania,Unknown,No,Unknown,Unknown,21,25.76,NA,NA,NA,NA,650
Pennsylvania,Unknown,Unknown,No,No,72,29.64,2887.49,25.53,5.37,34.73,651
Rhode Island,0,Yes,No,Yes,11,33.36,2851.18,34.8,13.12,99,652
Rhode Island,0,Yes,No,No,441,29.14,3108.98,26.99,12.05,66.1,653
Rhode Island,0,No,Yes,Yes,18,34.61,3017.44,36.46,16.64,74.14,654
Rhode Island,0,No,Yes,No,78,32.17,3371.28,30.79,15.38,63.59,655
Rhode Island,0,No,No,Yes,183,32.61,2997.49,33.09,14.29,68.51,656
Rhode Island,0,No,No,No,8937,29.75,3299.33,26.77,13.14,53.03,657
Rhode Island,0,No,Unknown,Unknown,11,29.45,2792.5,26.58,8.71,25.25,658
Rhode Island,0,Unknown,No,No,73,27.64,3192.89,27.26,12.49,58.66,659
Rhode Island,1,Yes,No,No,14,30.79,3097.29,28.92,16.12,63.58,660
Rhode Island,1,No,No,No,150,30.75,3048.17,28.33,12.99,55.03,661
Rhode Island,2,No,No,No,31,31.26,3123.5,28.49,13.2,70.96,662
Rhode Island,3,No,No,No,11,28.64,2879,27.83,11.5,48.75,663
Rhode Island,Unknown,No,No,No,127,30.07,3223.25,26.17,13.18,NA,664
Rhode Island,Unknown,Unknown,No,No,45,29.09,3101.16,32.88,10.45,54,665
South Carolina,0,Yes,Yes,Yes,18,33.61,3021.22,38.79,16.28,125.56,666
South Carolina,0,Yes,Yes,No,41,28.68,3043.05,33.12,14.76,77.5,667
South Carolina,0,Yes,No,Yes,161,30.8,2901.07,34.11,12.04,65.74,668
South Carolina,0,Yes,No,No,3912,27.26,3049.93,27.3,10.94,57.1,669
South Carolina,0,No,Yes,Yes,128,32.2,2892.48,37.36,14.23,73.64,670
South Carolina,0,No,Yes,No,463,30.52,3149.71,33.33,14.32,64.41,671
South Carolina,0,No,No,Yes,1684,30.78,2953.26,35.73,13.64,66.7,672
South Carolina,0,No,No,No,49696,28.17,3237.32,27.96,12.26,50.68,673
South Carolina,0,Unknown,No,No,437,28.74,3213.94,27.63,9.62,48.95,674
South Carolina,1,Yes,No,No,63,29.87,2753.87,26.45,10.81,47.07,675
South Carolina,1,No,No,Yes,25,31.64,2967.42,37.99,12.44,54.71,676
South Carolina,1,No,No,No,310,30.3,2978.7,30.11,12.36,45.37,677
South Carolina,2,No,No,No,18,30.33,2721.53,27.77,12.59,44.65,678
South Carolina,Unknown,No,No,No,24,25.08,2815.38,23.7,7.7,38.5,679
South Dakota,0,Yes,Yes,No,13,27.77,3946.62,32.7,10.08,54.67,680
South Dakota,0,Yes,No,Yes,16,32.19,3012.06,32.37,10.2,74.64,681
South Dakota,0,Yes,No,No,1161,27.3,3194.05,27.79,9.21,51.09,682
South Dakota,0,No,Yes,Yes,10,34.7,2991.3,39.19,10.6,74,683
South Dakota,0,No,Yes,No,78,29.95,3518.54,31.53,10.47,43.8,684
South Dakota,0,No,No,Yes,132,30.44,3067.74,33.55,11.29,51.9,685
South Dakota,0,No,No,No,9839,28.54,3339.16,26.93,10.77,42.38,686
South Dakota,0,Unknown,No,No,35,29.6,3050.97,26.75,7.76,45.08,687
South Dakota,1,Yes,No,No,32,30.12,3159.44,27.27,8.2,38.69,688
South Dakota,1,No,No,No,112,30.21,3375.32,26.96,9.64,41.31,689
Tennessee,0,Yes,Yes,Yes,34,33.79,2593.24,36.25,11.74,99.1,690
Tennessee,0,Yes,Yes,No,92,29.15,3128.24,31.14,12.37,70.67,691
Tennessee,0,Yes,No,Yes,333,29.88,2818.64,31.4,10.6,61.99,692
Tennessee,0,Yes,No,No,8582,26.89,3059.64,26.56,10.19,54.47,693
Tennessee,0,No,Yes,Yes,218,31.96,2893.97,36.85,13.51,73.11,694
Tennessee,0,No,Yes,No,721,29.73,3295.79,32.25,12.69,58.62,695
Tennessee,0,No,No,Yes,1929,29.93,3025.55,33.67,12.15,60.82,696
Tennessee,0,No,No,No,67327,27.93,3268.44,27.26,11.01,48.19,697
Tennessee,0,Unknown,No,No,219,27.06,3143.26,26.9,9.17,46.65,698
Tennessee,1,Yes,No,Yes,13,29.85,2389.23,30.7,10.23,56.09,699
Tennessee,1,Yes,No,No,139,29.78,2922.71,26.79,9.62,47.81,700
Tennessee,1,No,No,Yes,25,30.68,2536.4,34.03,10.83,40.55,701
Tennessee,1,No,No,No,524,29.98,3126.8,28.05,10.28,45.61,702
Tennessee,2,Yes,No,No,15,29.6,2841.13,22.28,8.29,50.2,703
Tennessee,2,No,No,No,44,31.23,2954.18,28.32,10.1,45.47,704
Tennessee,3,No,No,No,13,32.15,3251.46,27.37,8.92,58.67,705
Tennessee,Unknown,Yes,No,No,15,28.67,3208,26.55,4.08,36,706
Tennessee,Unknown,No,No,No,143,27.01,3224.74,26.91,5.33,54.83,707
Texas,0,Yes,Yes,Yes,14,33.29,3333.36,36.04,10.14,53.36,708
Texas,0,Yes,Yes,No,68,29.91,2962.6,32.91,10.81,80.88,709
Texas,0,Yes,No,Yes,207,31.27,2870.15,32.81,9.79,68.31,710
Texas,0,Yes,No,No,8651,27.42,3074.72,27.31,9.08,55.32,711
Texas,0,Yes,Unknown,Unknown,47,26.77,2807.06,23.97,1.49,59.88,712
Texas,0,No,Yes,Yes,440,33.1,3019.37,36.56,11.79,70.87,713
Texas,0,No,Yes,No,2553,31.08,3253.56,32.27,12.2,65.66,714
Texas,0,No,No,Yes,4640,31.26,2993.64,33.45,11.45,66.04,715
Texas,0,No,No,No,355448,28.31,3238.84,27.32,10.37,51.42,716
Texas,0,No,Unknown,Unknown,285,27.02,3050.93,27.03,5.15,47.32,717
Texas,0,Unknown,No,No,422,27.75,3172.03,27.23,8.84,50.88,718
