player,position,age,team,games,games_started,minutes_played,field_goals,field_goal_attempts,three_pointers,three_point_attempts,two_pointers,two_point_attempts,free_throws,free_throw_attempts,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
Caleb Martin,SF,26,MIA,60,12,1372,208,410,64,155,144,255,71,93,70,160,64,58,30,52,104
Cody Martin,SF,26,CHO,71,11,1866,204,423,61,159,143,264,75,107,82,203,179,88,32,61,116
Kelan Martin,SF,26,IND,27,1,444,70,168,22,74,48,94,9,13,16,37,21,13,9,14,36
Kelan Martin,SF,26,BOS,3,0,6,0,3,0,1,0,2,0,0,1,1,0,0,0,0,0
Kenyon Martin Jr.,SF,21,HOU,79,2,1656,279,523,60,168,219,355,78,123,80,217,101,34,40,60,113
Garrison Mathews,SG,25,HOU,65,33,1712,184,461,139,386,45,75,143,180,32,158,64,57,24,41,168
Dakota Mathias,SG,26,MEM,6,0,16,2,6,2,6,0,0,0,0,0,2,1,1,0,0,1
Wesley Matthews,SG,35,MIL,49,14,1002,87,220,53,157,34,63,22,28,30,62,36,23,8,18,87
Tyrese Maxey,PG,21,PHI,75,74,2650,483,995,132,309,351,686,213,246,26,214,321,55,32,88,156
Skylar Mays,SG,24,ATL,28,5,220,32,64,8,25,24,39,8,9,5,20,17,7,0,10,9
Miles McBride,PG,21,NYK,40,2,372,32,108,17,68,15,40,8,12,4,38,41,14,1,5,45
Mac McClung,PG,23,CHI,1,0,3,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0
Mac McClung,SG,23,LAL,1,0,22,2,5,1,3,1,2,1,1,0,3,1,1,1,2,5
CJ McCollum,SG,30,POR,36,36,1267,290,665,111,289,179,376,48,68,34,119,163,36,21,70,77
CJ McCollum,SG,30,NOP,26,26,878,246,499,71,180,175,319,68,102,19,97,152,34,1,57,44
T.J. McConnell,PG,29,IND,27,8,652,100,208,10,33,90,175,19,23,20,70,131,29,10,29,53
Jaden McDaniels,PF,21,MIN,70,31,1803,255,554,80,252,175,302,57,71,76,217,79,52,54,75,224
Jalen McDaniels,SF,24,CHO,55,2,895,123,254,41,108,82,146,53,72,37,133,58,26,22,36,93
Doug McDermott,PF,30,SAS,51,51,1223,215,465,108,256,107,209,40,51,18,97,64,13,6,43,79
JaVale McGee,C,34,PHO,74,17,1172,288,458,2,9,286,449,102,146,163,333,42,22,81,98,181
Cameron McGriff,SF,24,POR,3,0,46,5,14,2,6,3,8,2,2,6,9,3,0,1,0,7
Rodney McGruder,SG,30,DET,51,2,754,98,225,58,146,40,79,19,26,31,80,48,21,7,24,58
Alfonzo McKinnie,SF,29,CHI,17,3,206,24,61,9,27,15,34,2,8,13,20,5,2,3,7,26
JaQuori McLaughlin,PG,24,DAL,4,0,11,0,2,0,1,0,1,0,0,0,0,2,0,0,0,1
Jordan McLaughlin,PG,25,MIN,62,3,902,88,200,27,85,61,115,30,40,22,72,180,57,10,38,54
Ben McLemore,SG,28,POR,64,6,1285,216,539,151,417,65,122,72,88,12,91,59,38,10,55,103
De'Anthony Melton,SG,23,MEM,73,15,1657,281,695,139,372,142,323,90,120,64,264,194,104,39,112,128
Sam Merrill,SG,25,MEM,6,0,58,8,24,7,23,1,1,2,4,1,6,4,0,0,2,3
Chimezie Metu,C,24,SAC,60,20,1279,203,449,57,186,146,263,71,91,34,301,60,51,32,61,93
Khris Middleton,SF,30,MIL,66,66,2141,452,1021,162,434,290,587,259,291,41,315,358,76,18,190,160
C.J. Miles,SG,34,BOS,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Patty Mills,PG,33,BRK,81,48,2346,324,794,227,568,97,226,48,59,18,138,183,51,17,73,112
Paul Millsap,PF,36,BRK,24,0,270,32,85,6,27,26,58,12,17,29,60,24,5,11,11,48
Paul Millsap,PF,36,PHI,9,1,106,13,30,2,8,11,22,5,7,12,13,5,5,2,8,19
Shake Milton,PG,25,PHI,55,6,1179,173,403,43,133,130,270,61,73,30,112,139,28,17,44,99
Davion Mitchell,PG,23,SAC,75,19,2076,352,843,101,320,251,523,56,85,33,133,313,55,24,114,141
Donovan Mitchell,SG,25,UTA,67,67,2266,617,1376,232,654,385,722,267,313,55,227,358,99,12,200,164
Evan Mobley,PF,20,CLE,69,69,2331,422,830,23,92,399,738,167,252,143,427,174,56,115,133,147
Malik Monk,SG,23,LAL,76,37,2139,391,826,173,442,218,384,93,117,37,219,218,61,29,122,138
Greg Monroe,C,31,MIN,4,0,81,13,22,0,0,13,22,3,7,6,18,16,4,6,7,9
Greg Monroe,C,31,WAS,2,0,18,4,8,0,0,4,8,0,0,7,3,1,1,1,2,2
Greg Monroe,C,31,MIL,5,0,70,11,22,0,0,11,22,5,9,11,10,2,3,2,3,7
Greg Monroe,C,31,UTA,3,0,26,4,5,0,0,4,5,4,7,6,3,3,0,1,0,6
Moses Moody,SG,19,GSW,52,11,607,80,183,40,110,40,73,28,36,17,63,23,7,10,13,43
Xavier Moon,SG,27,LAC,10,0,137,25,51,5,14,20,37,3,5,2,12,24,7,3,6,9
Matt Mooney,SG,24,NYK,1,0,2,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0
Ja Morant,PG,22,MEM,57,57,1889,580,1177,88,256,492,921,316,415,77,248,384,66,22,196,86
Juwan Morgan,PF,24,TOR,1,0,27,2,3,1,2,1,1,0,0,2,2,1,0,0,0,3
Juwan Morgan,PF,24,BOS,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jaylen Morris,SG,26,SAS,3,0,16,0,6,0,2,0,4,2,4,0,2,2,0,0,1,2
Marcus Morris,PF,32,LAC,54,54,1564,300,691,101,275,199,416,129,148,26,213,113,28,18,69,115
Markieff Morris,PF,32,MIA,17,1,298,54,114,13,39,41,75,8,9,17,28,23,6,1,20,33
Monte Morris,PG,26,DEN,75,74,2239,374,773,124,314,250,459,73,84,27,199,333,56,14,78,92
Emmanuel Mudiay,PG,25,SAC,2,0,11,0,2,0,0,0,2,3,4,0,0,4,1,0,1,1
Mychal Mulder,PG,27,ORL,15,2,195,20,67,13,46,7,21,2,2,2,19,3,4,1,8,12
Mychal Mulder,PG,27,MIA,2,1,44,4,10,4,8,0,2,2,2,0,3,2,0,1,0,1
Ade Murkey,SG,24,SAC,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trey Murphy III,SF,21,NOP,62,1,864,109,277,71,186,38,91,45,51,47,100,38,23,7,16,60
Dejounte Murray,PG,25,SAS,68,68,2366,573,1241,96,294,477,947,196,247,80,483,627,138,23,180,138
Mike Muscala,C,30,OKC,43,0,592,113,248,70,163,43,85,48,57,21,108,22,18,26,14,58
Svi Mykhailiuk,SF,24,TOR,56,5,716,91,234,41,134,50,100,32,37,20,72,45,26,4,32,54
Abdel Nader,SF,28,PHO,14,0,145,12,35,4,14,8,21,6,10,4,23,7,8,4,11,20
Larry Nance Jr.,PF,29,POR,37,11,858,102,198,19,62,83,136,32,49,58,151,73,38,13,27,67
Larry Nance Jr.,PF,29,NOP,9,0,182,27,49,4,8,23,41,8,8,14,25,8,5,7,10,17
RJ Nembhard Jr.,SG,22,CLE,14,0,63,6,18,0,2,6,16,3,4,3,4,12,1,0,3,2
Aaron Nesmith,SF,22,BOS,52,3,574,72,182,31,115,41,67,21,26,15,74,22,20,5,31,70
Raul Neto,PG,29,WAS,70,19,1372,204,441,35,120,169,321,83,108,13,121,217,55,3,79,104
Malik Newman,PG,24,CLE,1,0,8,3,5,0,1,3,4,2,2,0,1,1,0,0,1,0
Georges Niang,PF,28,PHI,76,7,1736,246,563,156,387,90,176,52,59,25,178,102,30,13,59,190
Daishen Nix,SG,19,HOU,24,0,261,27,67,7,26,20,41,16,30,7,26,40,15,0,26,21
Zeke Nnaji,PF,21,DEN,41,1,698,96,186,37,80,59,106,41,65,56,91,17,16,13,23,79
Nerlens Noel,C,27,NYK,25,11,562,32,60,0,3,32,57,21,30,48,93,23,30,31,20,67
Jaylen Nowell,SG,22,MIN,62,1,975,196,413,63,160,133,253,72,92,22,101,130,27,10,36,73
Frank Ntilikina,PG,23,DAL,58,5,685,89,223,38,111,51,112,24,25,12,67,69,27,7,31,61
Jusuf Nurkić,C,27,POR,56,56,1579,321,600,15,56,306,544,185,268,167,452,157,62,34,143,189
David Nwaba,SF,29,HOU,46,4,609,85,176,15,49,70,127,48,67,41,110,35,28,20,21,55
Jordan Nwora,SF,23,MIL,62,13,1185,186,462,79,227,107,235,36,43,37,184,59,25,17,57,78
Royce O'Neale,SF,28,UTA,77,77,2406,203,444,119,306,84,138,45,56,64,304,191,86,32,79,183
Semi Ojeleye,PF,27,MIL,20,0,308,18,70,11,41,7,29,10,13,25,33,5,5,5,5,26
Semi Ojeleye,PF,27,LAC,10,0,98,12,29,4,9,8,20,13,16,2,14,4,2,1,4,4
Chuma Okeke,PF,23,ORL,70,20,1749,216,575,118,371,98,204,55,65,47,300,118,97,42,57,95
Josh Okogie,SG,23,MIN,49,6,516,42,104,14,47,28,57,35,51,29,41,25,26,12,23,53
Onyeka Okongwu,C,21,ATL,48,6,992,156,226,0,0,156,226,80,110,115,168,53,31,60,44,149
Isaac Okoro,SF,21,CLE,67,61,1981,207,431,55,157,152,274,119,155,72,129,121,56,22,58,164
KZ Okpala,PF,22,MIA,21,0,244,30,69,9,26,21,43,8,11,11,30,14,4,7,5,25
Victor Oladipo,SG,29,MIA,8,1,173,35,73,15,36,20,37,14,19,3,20,28,5,1,16,13
Cameron Oliver,SF,25,ATL,2,0,43,10,15,1,3,9,12,2,3,2,4,3,1,1,0,5
Kelly Olynyk,C,30,DET,40,1,764,128,286,40,119,88,167,69,89,54,123,111,31,19,58,100
Eugene Omoruyi,SF,24,DAL,4,0,18,2,5,1,2,1,3,2,4,2,5,2,0,0,0,2
Miye Oni,SG,24,UTA,16,0,44,2,9,1,8,1,1,0,1,1,6,5,0,0,1,7
Cedi Osman,SF,26,CLE,66,3,1462,247,572,128,359,119,213,87,131,25,121,135,52,10,67,127
Daniel Oturu,C,22,TOR,3,0,27,3,6,0,1,3,5,3,5,1,4,0,0,2,0,1
Kelly Oubre Jr.,SF,26,CHO,76,13,1999,410,932,191,553,219,379,126,189,79,223,84,77,31,67,189
Jaysean Paige,PG,27,DET,1,0,7,0,3,0,2,0,1,0,0,0,1,1,0,0,1,2
Trayvon Palmer,SG,27,DET,1,0,17,0,1,0,0,0,1,0,0,0,2,0,0,0,1,2
Kevin Pangos,PG,29,CLE,24,3,166,15,46,6,26,9,20,3,4,2,9,30,3,0,7,11
Jabari Parker,PF,26,BOS,12,0,112,18,38,8,16,10,22,9,9,5,23,6,4,1,8,13
Eric Paschall,PF,25,UTA,58,3,736,114,235,40,108,74,127,66,86,30,76,36,9,5,27,51
Chris Paul,PG,36,PHO,65,65,2139,363,736,63,199,300,537,169,202,22,261,702,121,20,153,134
Cameron Payne,PG,27,PHO,58,12,1278,240,587,71,211,169,376,75,89,24,151,282,40,17,103,119
Elfrid Payton,PG,27,PHO,50,1,549,67,175,4,18,63,157,12,32,21,67,99,25,6,47,38
Gary Payton II,PG,29,GSW,71,16,1247,212,344,43,120,169,224,35,58,72,175,64,96,22,40,131
Norvel Pelle,C,28,UTA,3,0,19,3,5,0,0,3,5,0,0,3,3,0,0,1,2,1
Reggie Perry,PF,21,POR,9,1,177,39,78,3,16,36,62,9,15,15,31,12,9,6,11,30
Reggie Perry,PF,21,IND,1,0,10,1,1,0,0,1,1,0,0,0,1,0,0,0,0,3
Jamorko Pickett,PF,24,DET,13,0,176,18,50,13,39,5,11,1,2,6,26,7,0,7,5,12
