player,position,age,team,games,games_started,minutes_played,field_goals,field_goal_attempts,three_pointers,three_point_attempts,two_pointers,two_point_attempts,free_throws,free_throw_attempts,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
Javonte Smart,PG,22,MIL,13,1,160,11,43,4,18,7,25,5,6,4,15,14,4,2,9,11
Javonte Smart,PG,22,MIA,4,0,40,8,17,4,9,4,8,0,0,1,4,2,2,1,2,1
Marcus Smart,PG,27,BOS,71,71,2296,300,718,119,360,181,358,142,179,42,228,417,119,18,159,160
Dennis Smith Jr.,PG,24,POR,37,4,638,79,189,6,27,73,162,42,64,20,68,132,45,12,51,52
Ish Smith,PG,33,CHO,37,1,511,73,185,10,25,63,160,12,19,11,46,98,20,10,36,34
Ish Smith,PG,33,WAS,28,0,615,112,245,15,42,97,203,3,5,14,69,146,27,13,42,44
Jalen Smith,PF,21,PHO,29,4,382,63,137,9,39,54,98,40,52,55,84,6,6,18,22,52
Jalen Smith,PF,21,IND,22,4,543,113,213,31,83,82,130,38,50,46,122,18,9,23,20,44
Xavier Sneed,SF,24,MEM,2,0,8,0,2,0,2,0,0,0,0,1,1,0,0,0,0,2
Xavier Sneed,SF,24,UTA,7,0,31,2,8,1,6,1,2,0,0,1,3,1,0,0,0,0
Tony Snell,SG,30,POR,38,10,546,36,97,24,75,12,22,3,3,11,61,20,8,7,11,44
Tony Snell,SG,30,NOP,15,2,277,33,74,21,53,12,21,1,1,5,26,8,8,2,8,26
Jaden Springer,SG,19,PHI,2,0,6,1,1,0,0,1,1,0,0,1,1,0,0,2,1,0
Cassius Stanley,SG,22,DET,9,1,155,19,46,4,17,15,29,10,10,5,14,4,5,2,6,17
Nik Stauskas,SG,28,MIA,2,0,24,3,8,2,4,1,4,3,4,1,2,1,0,0,0,1
Nik Stauskas,SG,28,BOS,6,0,15,2,6,2,6,0,0,1,2,0,0,1,0,0,1,0
Lance Stephenson,SF,31,ATL,6,0,70,5,13,0,3,5,10,1,2,1,14,11,0,0,4,8
Lance Stephenson,SG,31,IND,40,1,744,142,310,27,87,115,223,62,78,11,101,154,24,4,68,88
Lamar Stevens,PF,24,CLE,63,13,1015,156,319,18,65,138,254,53,75,47,117,44,31,18,41,106
Isaiah Stewart,C,20,DET,71,71,1816,250,490,15,46,235,444,74,103,226,391,82,22,78,85,211
Max Strus,SF,25,MIA,68,16,1587,249,564,181,442,68,122,42,53,24,178,92,28,16,57,116
Jalen Suggs,PG,20,ORL,48,45,1307,198,548,42,196,156,352,126,163,26,145,209,59,19,143,142
Craig Sword,SG,28,WAS,3,0,19,3,4,0,1,3,3,0,0,0,0,1,4,0,1,7
Keifer Sykes,PG,28,IND,32,11,566,69,190,27,90,42,100,15,17,8,37,62,12,4,33,51
Jae'Sean Tate,SF,26,HOU,78,77,2056,363,729,63,202,300,527,130,184,135,285,222,72,41,139,286
Jayson Tatum,SF,23,BOS,76,76,2731,708,1564,230,651,478,913,400,469,85,524,334,75,49,217,174
Terry Taylor,SG,22,IND,33,7,714,135,220,12,38,123,182,36,51,95,77,41,14,8,23,61
Garrett Temple,SG,35,NOP,59,16,1098,111,295,59,185,52,110,28,41,29,114,74,43,23,42,81
Emanuel Terry,PF,25,PHO,3,0,18,0,5,0,0,0,5,0,0,8,7,2,1,0,5,4
Tyrell Terry,PG,21,MEM,2,0,3,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1
Jon Teske,C,24,MEM,3,0,8,0,1,0,0,0,1,0,2,0,2,1,1,0,0,1
Daniel Theis,C,29,HOU,26,21,584,84,179,23,79,61,100,27,40,32,98,20,11,17,31,62
Daniel Theis,C,29,BOS,21,6,393,67,112,10,28,57,84,22,32,27,71,21,9,14,15,49
Brodric Thomas,SG,25,BOS,12,0,60,8,18,2,9,6,9,3,5,2,8,11,1,1,6,7
Cam Thomas,SG,20,BRK,67,2,1176,218,503,47,174,171,329,87,105,16,145,78,33,8,55,66
Isaiah Thomas,PG,32,LAL,4,1,101,12,39,5,22,7,17,8,11,1,7,6,0,2,5,12
Isaiah Thomas,PG,32,DAL,1,0,13,3,8,0,3,3,5,0,0,0,0,4,0,0,0,0
Isaiah Thomas,PG,32,CHO,17,0,219,52,120,23,58,29,62,14,15,3,18,24,7,3,10,22
Matt Thomas,SG,27,CHI,40,0,459,55,134,35,91,20,43,16,20,3,47,20,8,3,8,18
Klay Thompson,SG,31,GSW,32,32,941,246,573,114,296,132,277,46,51,15,110,88,16,17,43,54
Tristan Thompson,PF,30,SAC,30,3,455,76,151,1,1,75,150,32,60,72,89,18,11,12,29,52
Tristan Thompson,PF,30,IND,4,0,66,13,24,0,0,13,24,3,8,7,11,2,0,2,4,7
Tristan Thompson,PF,30,CHI,23,3,376,52,92,0,2,52,90,26,48,41,68,14,12,7,12,39
JT Thor,PF,19,CHO,33,0,262,24,55,7,27,17,28,12,20,11,32,19,8,11,10,26
Matisse Thybulle,SG,24,PHI,66,50,1685,150,300,45,144,105,156,34,43,42,109,75,115,71,39,158
Killian Tillie,C,23,MEM,36,3,461,43,127,27,86,16,41,5,8,21,39,22,23,15,13,58
Xavier Tillman Sr.,PF,23,MEM,53,2,701,98,216,10,49,88,167,46,71,66,95,62,49,15,34,63
Isaiah Todd,PF,20,WAS,12,0,74,7,26,4,16,3,10,2,6,3,9,4,4,2,4,4
Obi Toppin,PF,23,NYK,72,10,1230,251,473,52,169,199,304,94,124,69,199,77,25,33,56,102
Juan Toscano-Anderson,SF,28,GSW,73,6,994,115,235,28,87,87,148,40,70,28,148,127,48,17,68,115
Karl-Anthony Towns,C,26,MIN,74,74,2476,642,1214,150,366,492,848,384,467,194,533,269,72,83,226,267
Gary Trent Jr.,SG,23,TOR,70,69,2448,450,1086,209,545,241,541,174,204,26,165,141,122,19,73,144
P.J. Tucker,PF,36,MIA,71,70,1981,207,428,80,193,127,235,45,61,100,287,149,58,15,66,161
Rayjon Tucker,SG,24,DEN,3,0,29,1,2,1,2,0,0,3,4,1,3,4,1,0,0,3
Rayjon Tucker,SG,24,MIL,2,0,42,5,7,3,3,2,4,2,3,2,2,6,3,0,1,2
Myles Turner,C,25,IND,42,42,1235,200,393,61,183,139,210,79,105,65,232,44,28,118,54,119
Jonas Valančiūnas,C,29,NOP,74,74,2240,510,938,57,158,453,780,237,289,226,617,190,41,60,179,247
Denzel Valentine,SG,28,CLE,22,0,204,23,62,18,44,5,18,0,0,9,29,11,7,0,10,17
Denzel Valentine,SG,28,UTA,2,0,18,2,4,1,3,1,1,0,0,0,4,0,1,0,2,3
Jarred Vanderbilt,PF,22,MIN,74,67,1880,212,361,2,14,210,347,86,131,215,409,94,99,46,73,181
Fred VanVleet,PG,27,TOR,65,65,2462,442,1097,242,642,200,455,194,222,44,245,434,111,35,170,162
Devin Vassell,SF,21,SAS,71,32,1937,326,764,137,380,189,384,83,99,44,262,136,76,41,58,143
Gabe Vincent,PG,25,MIA,68,27,1589,214,513,119,323,95,190,44,54,22,104,210,62,12,98,158
Nikola Vučević,C,31,CHI,73,73,2418,546,1154,104,331,442,823,92,121,142,662,236,70,71,136,181
Dean Wade,PF,25,CLE,51,28,980,99,217,51,142,48,75,20,30,31,119,52,29,7,16,88
Franz Wagner,SF,20,ORL,79,79,2429,456,975,96,271,360,704,189,219,84,272,231,68,34,119,164
Moritz Wagner,C,24,ORL,63,3,960,197,396,66,201,131,195,104,129,42,190,87,20,13,56,123
Ish Wainright,PF,27,PHO,45,0,359,41,104,19,59,22,45,7,12,27,27,15,20,6,13,49
Kemba Walker,PG,31,NYK,37,37,948,149,370,73,199,76,171,60,71,14,97,131,26,7,48,37
Lonnie Walker IV,SG,23,SAS,70,6,1612,311,764,111,353,200,411,116,148,18,163,152,44,19,71,98
M.J. Walker,SG,23,PHO,2,0,8,0,4,0,2,0,2,0,0,0,1,1,2,0,0,1
Tyrone Wallace,SG,27,NOP,6,0,75,7,20,2,8,5,12,1,5,0,8,1,3,1,2,7
Derrick Walton,PG,26,DET,3,3,108,6,26,3,13,3,13,4,4,2,8,21,7,4,11,8
Brad Wanamaker,PG,32,IND,22,1,293,26,72,4,17,22,55,20,22,6,29,48,5,6,23,42
Brad Wanamaker,PG,32,WAS,1,1,27,2,5,0,0,2,5,3,3,0,4,7,2,0,0,3
Duane Washington Jr.,PG,21,IND,48,7,968,173,427,81,215,92,212,46,61,4,79,85,26,3,57,66
P.J. Washington,PF,23,CHO,65,28,1768,250,532,110,301,140,231,58,81,82,255,147,57,61,82,152
Yuta Watanabe,SF,27,TOR,38,4,445,56,138,27,79,29,59,24,40,18,74,21,11,16,19,38
Lindy Waters III,SG,24,OKC,25,1,465,71,175,53,146,18,29,4,5,6,67,24,19,8,11,31
Tremont Waters,PG,24,TOR,2,0,42,3,12,2,9,1,3,0,0,0,4,7,4,0,4,2
Tremont Waters,PG,24,WAS,1,0,8,1,2,0,0,1,2,0,0,0,0,0,1,0,0,2
Trendon Watford,SF,21,POR,48,10,869,142,267,9,38,133,229,71,94,57,142,81,25,28,44,116
Paul Watson,SF,27,OKC,9,3,156,12,35,6,26,6,9,1,2,3,24,8,3,3,4,10
Quinndary Weatherspoon,SG,25,GSW,11,0,73,12,21,1,5,11,16,5,5,2,12,5,1,1,3,15
Russell Westbrook,PG,33,LAL,78,78,2678,548,1233,79,265,469,968,266,399,110,470,550,75,20,295,235
Coby White,PG,21,CHI,61,17,1675,279,644,136,353,143,291,78,91,17,165,176,29,11,70,137
Derrick White,SG,27,SAS,49,48,1486,243,570,81,258,162,312,139,160,25,148,274,49,42,87,116
Derrick White,SG,27,BOS,26,4,713,94,230,34,111,60,119,64,75,13,75,92,15,16,32,56
Hassan Whiteside,C,32,UTA,65,8,1162,215,330,0,0,215,330,104,167,166,328,26,22,103,53,179
Joe Wieskamp,SG,22,SAS,29,0,205,20,56,14,43,6,13,7,13,4,10,9,4,3,2,14
Aaron Wiggins,SG,23,OKC,50,35,1209,156,337,42,138,114,199,62,85,51,127,68,30,10,54,93
Andrew Wiggins,SF,26,GSW,73,73,2329,475,1019,157,399,318,620,149,235,85,240,161,76,51,111,158
Lindell Wigginton,PG,23,MIL,19,0,199,26,61,9,26,17,35,19,35,3,22,23,5,1,12,17
Brandon Williams,PG,22,POR,24,16,640,105,282,31,106,74,176,68,97,19,55,94,24,10,58,52
Grant Williams,PF,23,BOS,77,21,1875,205,432,106,258,99,174,86,95,64,210,78,38,57,62,186
Kenrich Williams,SF,27,OKC,49,0,1072,146,317,41,121,105,196,30,55,75,145,108,44,10,46,81
Lou Williams,PG,35,ATL,56,0,799,125,320,37,102,88,218,67,78,16,71,105,28,3,43,48
Patrick Williams,PF,20,CHI,17,9,422,54,102,15,29,39,73,30,41,17,52,15,9,9,16,28
Robert Williams,C,24,BOS,61,61,1804,271,368,0,1,271,367,65,90,238,350,121,56,134,63,137
Ziaire Williams,SF,20,MEM,62,31,1346,191,424,76,242,115,182,43,55,26,103,65,35,12,41,113
D.J. Wilson,PF,25,TOR,4,1,54,11,15,0,2,11,13,8,10,1,15,5,5,1,2,6
Dylan Windler,SF,25,CLE,50,0,459,37,98,21,70,16,28,15,18,21,68,34,14,3,16,47
Justise Winslow,SF,25,LAC,37,1,479,63,141,5,29,58,112,25,41,30,103,52,21,18,37,46
Justise Winslow,SF,25,POR,11,10,295,47,116,10,37,37,79,14,25,20,49,32,14,7,12,21
Cassius Winston,PG,23,WAS,7,0,39,4,11,2,6,2,5,4,4,0,1,7,0,0,3,9
Christian Wood,C,26,HOU,68,67,2094,440,878,131,336,309,542,207,332,110,576,155,54,65,126,171
Robert Woodard II,SF,22,SAC,12,0,42,2,16,1,4,1,12,2,2,5,6,3,1,1,1,3
Delon Wright,SG,29,ATL,77,8,1452,122,269,44,116,78,153,54,63,50,170,188,93,19,45,56
McKinley Wright IV,PG,23,MIN,5,0,19,2,3,1,2,1,1,0,0,0,0,3,0,0,1,1
Moses Wright,PF,23,LAC,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Moses Wright,PF,23,DAL,3,0,13,1,4,0,1,1,3,3,3,1,2,1,0,1,0,0
Gabe York,SG,28,IND,2,0,21,2,7,1,6,1,1,3,5,0,2,4,2,1,1,4
Thaddeus Young,PF,33,SAS,26,1,370,74,128,0,5,74,123,10,22,40,53,59,23,7,30,38
Thaddeus Young,PF,33,TOR,26,0,475,67,144,17,43,50,101,13,27,40,75,45,31,11,22,43
Trae Young,PG,23,ATL,76,76,2652,711,1544,233,610,478,934,500,553,50,234,737,72,7,303,128
Omer Yurtseven,C,23,MIA,56,12,706,130,247,1,11,129,236,38,61,85,209,49,17,20,41,84
Cody Zeller,C,29,POR,27,0,355,51,90,0,4,51,86,38,49,50,75,22,8,6,19,56
Ivica Zubac,C,24,LAC,76,76,1852,310,495,0,0,310,495,165,227,217,427,120,36,77,114,203
