shot_x,shot_y,shot_distance,shot_type,scoring_play,score_value
5,28,28.442925306655784,Running Pullup Jump Shot,TRUE,3
-19,14,23.600847442411894,Jump Shot,FALSE,0
-22,11,24.596747752497688,Jump Shot,TRUE,3
0,4,4,Driving Floating Jump Shot,TRUE,2
0,26,26,Pullup Jump Shot,TRUE,3
2,26,26.076809620810597,Pullup Jump Shot,TRUE,3
-22,10,24.166091947189145,Jump Shot,FALSE,0
20,19,27.586228448267445,Step Back Jump Shot,TRUE,3
-14,26,29.5296461204668,Jump Shot,TRUE,3
-8,6,10,Driving Layup Shot,FALSE,0
19,15,24.20743687382041,Jump Shot,FALSE,0
0,8,8,Layup Driving Reverse,TRUE,2
-18,22,28.42534080710379,Jump Shot,TRUE,3
-20,18,26.90724809414742,Jump Shot,FALSE,0
-17,19,25.495097567963924,Jump Shot,TRUE,3
-2,28,28.071337695236398,Jump Shot,TRUE,3
4,3,5,Driving Layup Shot,TRUE,2
2,25,25.079872407968907,Step Back Jump Shot,TRUE,3
17,17,24.041630560342615,Jump Shot,FALSE,0
-4,3,5,Driving Layup Shot,FALSE,0
1,23,23.021728866442675,Jump Shot,FALSE,0
-1,27,27.018512172212592,Jump Shot,FALSE,0
-24,1,24.020824298928627,Jump Shot,FALSE,0
-24,-1,24.020824298928627,Jump Shot,FALSE,0
0,30,30,Jump Shot,FALSE,0
-20,18,26.90724809414742,Jump Shot,FALSE,0
-20,13,23.853720883753127,Jump Shot,TRUE,3
-22,-1,22.02271554554524,Jump Shot,TRUE,3
-11,15,18.601075237738275,Running Jump Shot,FALSE,0
0,1,1,Running Layup Shot,TRUE,2
-15,19,24.20743687382041,Jump Shot,TRUE,3
-22,10,24.166091947189145,Jump Shot,TRUE,3
2,2,2.8284271247461903,Driving Layup Shot,FALSE,0
14,23,26.92582403567252,Jump Shot,FALSE,0
-3,28,28.160255680657446,Jump Shot,TRUE,3
6,25,25.709920264364882,Jump Shot,FALSE,0
-17,21,27.018512172212592,Jump Shot,FALSE,0
8,25,26.248809496813376,Pullup Jump Shot,FALSE,0
-17,18,24.758836806279895,Pullup Jump Shot,FALSE,0
-2,2,2.8284271247461903,Driving Layup Shot,TRUE,2
-20,15,25,Jump Shot,TRUE,3
2,1,2.23606797749979,Driving Layup Shot,TRUE,2
17,20,26.248809496813376,Jump Shot,TRUE,3
1,26,26.019223662515376,Pullup Jump Shot,FALSE,0
3,0,3,Driving Layup Shot,TRUE,2
9,32,33.24154027718932,Pullup Jump Shot,TRUE,3
17,18,24.758836806279895,Jump Shot,TRUE,3
-21,18,27.65863337187866,Running Jump Shot,FALSE,0
-14,22,26.076809620810597,Running Jump Shot,FALSE,0
-3,7,7.615773105863909,Jump Shot,FALSE,0
7,26,26.92582403567252,Jump Shot,FALSE,0
20,15,25,Jump Shot,TRUE,3
-1,13,13.038404810405298,Pullup Jump Shot,FALSE,0
-14,27,30.4138126514911,Jump Shot,FALSE,0
1,1,1.4142135623730951,Driving Layup Shot,TRUE,2
-8,7,10.63014581273465,Driving Jump Shot Bank,TRUE,2
-1,2,2.23606797749979,Layup Driving Reverse,TRUE,2
-15,22,26.627053911388696,Jump Shot,TRUE,3
-1,27,27.018512172212592,Pullup Jump Shot,TRUE,3
0,2,2,Layup Shot,FALSE,0
-8,5,9.433981132056603,Driving Layup Shot,FALSE,0
14,19,23.600847442411894,Running Jump Shot,TRUE,3
0,6,6,Driving Floating Bank Jump Shot,TRUE,2
1,11,11.045361017187261,Driving Floating Jump Shot,FALSE,0
-23,5,23.53720459187964,Jump Shot,FALSE,0
4,10,10.770329614269007,Pullup Jump Shot,TRUE,2
4,16,16.492422502470642,Pullup Jump Shot,FALSE,0
13,31,33.61547262794322,Jump Shot,FALSE,0
1,2,2.23606797749979,Driving Layup Shot,FALSE,0
-23,0,23,Jump Shot,FALSE,0
-23,10,25.079872407968907,Jump Shot,FALSE,0
1,1,1.4142135623730951,Driving Layup Shot,TRUE,2
21,14,25.238858928247925,Pullup Jump Shot,TRUE,3
-23,5,23.53720459187964,Jump Shot,TRUE,3
-23,0,23,Turnaround Jump Shot,FALSE,0
-2,6,6.324555320336759,Driving Floating Bank Jump Shot,TRUE,2
5,2,5.385164807134504,Running Layup Shot,TRUE,2
-1,1,1.4142135623730951,Layup Shot Putback,TRUE,2
-18,0,18,Jump Shot,FALSE,0
-23,4,23.345235059857504,Jump Shot,FALSE,0
4,8,8.94427190999916,Driving Floating Jump Shot,TRUE,2
4,30,30.265491900843113,Jump Shot,FALSE,0
-17,19,25.495097567963924,Jump Shot,TRUE,3
0,1,1,Driving Layup Shot,TRUE,2
