is_hr,launch_angle,launch_speed,bat_speed,swing_length,plate_x,plate_z,inning,balls,strikes,is_stand_left,is_throw_left
0,31,76.3,74.81379229667922,8.38935,0.38,2.5,5,1,1,0,0
0,-34,55.4,62.70674948779761,7.82314,0.41,2.9,5,3,1,0,0
0,-8,87.7,73.78603350633232,7.96604,0.21,1.72,5,0,0,0,0
0,33,82.7,69.8114647221666,7.41406,0.67,2.78,4,0,1,1,0
0,64,97,77.53389943667558,7.46461,-0.46,3.01,4,2,0,1,0
0,8,104.4,72.54966081319294,5.88821,0.05,2.9,4,3,2,1,0
0,-9,89.7,69.83773972679673,7.41437,-0.4,2.64,4,2,0,1,0
0,-3,90.5,62.14001962588693,5.8634,0.12,2.33,4,0,0,1,0
0,-42,87.4,82.67852894022522,7.20446,-0.66,3.28,3,3,2,1,0
0,40,92.9,68.35313183192697,7.37031,0.16,1.81,3,0,1,1,0
0,-11,66.9,60.03373519931552,7.5266,1.54,2.46,3,0,2,0,0
0,17,103.3,71.42209391299896,7.83241,0.93,2.63,3,3,2,0,0
0,38,92.2,67.57721567884835,7.67616,0.17,2.18,2,0,1,0,0
0,21,87.1,74.50041003542229,6.95398,-0.01,2.77,2,1,0,1,0
0,29,98.4,71.75114639483847,6.52616,0.3,2.48,2,2,1,1,0
0,19,102.8,71.18615994894289,7.62323,0.63,2.59,2,3,2,0,0
0,7,99.7,68.13607350526338,6.72319,-0.37,2.34,2,1,2,1,0
0,-85,37.3,17.69352232142085,1.48259,0.06,2.76,2,0,0,0,0
0,17,105.8,71.70793203754509,6.99233,-0.31,2.23,2,2,0,1,0
0,17,100.2,75.72637371805007,7.66479,-0.26,2.24,1,1,0,1,0
0,5,95.1,72.2989952090095,7.22015,0.78,2.87,1,3,2,0,0
0,19,102.4,68.7128069208913,5.94887,-0.4,3.07,1,1,2,1,0
0,7,92.1,69.1660326981918,7.61916,-1.27,2.68,1,1,2,1,0
0,27,100.1,80.33681281680111,7.95581,0.92,2.82,1,0,1,0,0
0,-2,76.5,76.28615391578435,7.81119,-0.41,2.28,1,3,1,1,0
0,10,105.2,72.33966271263394,7.84807,0.44,2.13,1,0,0,0,0
0,17,78.9,71.57019813702865,7.61386,0.56,1.99,9,2,2,0,0
0,59,90.7,69.5004924487435,6.82036,-0.3,2.86,9,1,0,0,0
0,7,100.2,77.3211549639395,7.7423,-0.39,2.14,8,3,2,0,0
0,4,82.2,56.05993679660112,7.47269,0.15,1.57,8,0,1,1,0
0,5,74.2,56.010533349973166,7.6918,-0.46,1.3,8,1,2,1,0
1,28,101.4,72.7096469951612,6.74839,0.33,2.65,8,1,2,1,0
0,46,72.2,65.4666369494053,7.41404,-0.42,2.03,8,0,1,0,0
0,-3,94.2,68.15265078505436,7.38022,-0.78,1.71,7,1,2,1,0
0,48,98,66.23334652244564,7.90997,-0.71,2.31,7,3,1,1,0
0,-3,96.7,69.92548963816579,6.58261,-0.41,1.62,7,1,2,1,0
0,-18,79.1,67.01025931153912,5.95006,-0.87,2.7,7,0,0,0,0
