county,date,cases,cases_avg_new,cases_cume,cases_rate,cases_avg_new_rate,cases_cume_rate,deaths,deaths_avg_new,deaths_cume,population,deaths_rate,deaths_avg_new_rate,deaths_cume_rate,longitude,latitude
Sullivan,2020-05-18T00:00:00Z,0,0.1,2,0,2.4,33,0,0,0,6066,0,0,0,-76.5147922,41.4480994
Union,2020-05-18T00:00:00Z,0,1.1,40,0,2.5,89,0,0,1,44923,0,0,2.23,-77.06415803,40.96473131
Wyoming,2020-05-18T00:00:00Z,0,0.1,29,0,0.5,108.2,0,0.4,7,26794,0,1.6,26.13,-76.01813003,41.51892488
Susquehanna,2020-05-18T00:00:00Z,0,0.4,83,0,1.1,205.8,0,0,15,40328,0,0,37.2,-75.80250303,41.8205686
Venango,2020-05-18T00:00:00Z,0,0.1,8,0,0.3,15.8,0,0,0,50668,0,0,0,-79.76286561,41.40341259
McKean,2020-05-19T00:00:00Z,0,0.1,8,0,0.4,19.7,0,0,1,40625,0,0,2.46,-78.5712202,41.81037074
Allegheny,2020-05-19T00:00:00Z,25,18.4,1655,2.1,1.5,136.1,1,1.7,164,1216045,0.08,0.14,13.49,-79.98619843,40.46735543
Cambria,2020-05-19T00:00:00Z,0,1.1,46,0,0.9,35.3,0,0,2,130192,0,0,1.54,-78.71894174,40.49127491
Armstrong,2020-05-19T00:00:00Z,0,0.3,58,0,0.4,89.6,0,0,3,64735,0,0,4.63,-79.47316899,40.81509526
Bedford,2020-05-19T00:00:00Z,0,0.6,34,0,1.2,71,0,0,2,47888,0,0,4.18,-78.49116474,40.00737536
Carbon,2020-05-19T00:00:00Z,2,1.9,218,3.1,2.9,339.7,0,0,23,64182,0,0,35.84,-75.71107039,40.91936701
Butler,2020-05-19T00:00:00Z,2,1.1,195,1.1,0.6,103.8,0,0,12,187853,0,0,6.39,-79.91711779,40.91083185
Clarion,2020-05-19T00:00:00Z,1,0.1,25,2.6,0.4,65,0,0,2,38438,0,0,5.2,-79.42483608,41.19279129
Delaware,2020-05-19T00:00:00Z,136,101,5871,24,17.8,1035.9,4,8.9,570,566747,0.71,1.56,100.57,-75.40627712,39.91657867
Clearfield,2020-05-19T00:00:00Z,0,0.3,30,0,0.4,37.9,0,0,0,79255,0,0,0,-78.47558343,41.000429
Centre,2020-05-19T00:00:00Z,2,0.9,133,1.2,0.5,81.9,0,0.1,5,162385,0,0.09,3.08,-77.82500112,40.9193135
Cumberland,2020-05-19T00:00:00Z,5,10.6,533,2,4.2,210.4,0,0.1,47,253370,0,0.06,18.55,-77.26866271,40.16759839
Blair,2020-05-19T00:00:00Z,1,1,38,0.8,0.8,31.2,0,0,1,121829,0,0,0.82,-78.34907687,40.48555024
Fayette,2020-05-19T00:00:00Z,0,0.7,89,0,0.6,68.8,0,0,4,129274,0,0,3.09,-79.65189635,39.9194478
Crawford,2020-05-19T00:00:00Z,0,0,21,0,0,24.8,0,0,0,84629,0,0,0,-80.11321083,41.68546907
Chester,2020-05-19T00:00:00Z,17,33.4,2178,3.2,6.4,414.9,6,4,257,524989,1.14,0.76,48.95,-75.75626498,39.97487056
Clinton,2020-05-19T00:00:00Z,0,0.4,44,0,1.1,113.9,0,0.1,2,38632,0,0.37,5.18,-77.642837599999993,41.23286274
Franklin,2020-05-19T00:00:00Z,17,16.7,666,11,10.8,429.6,0,1.4,32,155027,0,0.92,20.64,-77.72398845,39.92786197
Dauphin,2020-05-19T00:00:00Z,24,19.9,1003,8.6,7.1,360.4,6,2.4,68,278299,2.16,0.87,24.43,-76.77960568,40.41974636
Cameron,2020-05-19T00:00:00Z,0,0,2,0,0,45,0,0,0,4447,0,0,0,-78.20916932,41.43880265
Elk,2020-05-19T00:00:00Z,0,0,5,0,0,16.7,0,0,0,29910,0,0,0,-78.64947713,41.42819416
Bradford,2020-05-19T00:00:00Z,0,0.1,41,0,0.2,68,0,0,3,60323,0,0,4.97,-76.51825624,41.79117814
Erie,2020-05-19T00:00:00Z,17,5.6,168,6.3,2.1,62.3,0,0.1,4,269728,0,0.05,1.48,-80.0407591,41.99413787
Bucks,2020-05-19T00:00:00Z,78,62.3,4599,12.4,9.9,732,6,7,478,628270,0.96,1.11,76.08,-75.11291241,40.33501133
Berks,2020-05-19T00:00:00Z,26,38.7,3755,6.2,9.2,891.6,4,4.4,299,421164,0.95,1.05,70.99,-75.93077327,40.41939635
Adams,2020-05-19T00:00:00Z,4,4,198,3.9,3.9,192.2,0,0,5,103009,0,0,4.85,-77.22224271,39.87209565
Columbia,2020-05-19T00:00:00Z,3,1.4,341,4.6,2.2,524.9,0,0.3,30,64964,0,0.44,46.18,-76.4100218,41.04912086
Forest,2020-05-19T00:00:00Z,0,0,7,0,0,96.6,0,0,0,7247,0,0,0,-79.23780995,41.51357876
Beaver,2020-05-19T00:00:00Z,4,4.6,534,2.4,2.8,325.8,1,0.7,75,163929,0.61,0.44,45.75,-80.35107356,40.68349245
Montgomery,2020-05-19T00:00:00Z,88,89.6,6183,10.6,10.8,744.1,6,10.3,665,830915,0.72,1.24,80.03,-75.37252001,40.20989874
Fulton,2020-05-19T00:00:00Z,1,0.7,13,6.9,4.9,89.5,0,0,1,14530,0,0,6.88,-78.11485045,39.92487511
Lycoming,2020-05-19T00:00:00Z,1,1.7,153,0.9,1.5,135,0,0.6,14,113299,0,0.5,12.36,-77.06942457,41.34459792
Northampton,2020-05-19T00:00:00Z,23,36.3,2764,7.5,11.9,905.4,6,4.1,202,305285,1.97,1.36,66.17,-75.31263726,40.7545954
Potter,2020-05-19T00:00:00Z,0,0,4,0,0,24.2,0,0,0,16526,0,0,0,-77.89879229,41.74420644
Lackawanna,2020-05-19T00:00:00Z,20,22,1385,9.5,10.5,660.5,7,4.7,165,209674,3.34,2.25,78.69,-75.61218345,41.43910064
Perry,2020-05-19T00:00:00Z,1,1,42,2.2,2.2,90.8,0,0,1,46272,0,0,2.16,-77.25907385,40.40415317
Lebanon,2020-05-19T00:00:00Z,5,5.1,882,3.5,3.6,622,1,0.4,25,141793,0.71,0.3,17.63,-76.46182575,40.367597
Montour,2020-05-19T00:00:00Z,0,0,50,0,0,274.3,0,0,0,18230,0,0,0,-76.66470527,41.02801824
Lehigh,2020-05-19T00:00:00Z,28,33.1,3528,7.6,9,955.3,8,5.6,217,369318,2.17,1.51,58.76,-75.60099481,40.61464794
Greene,2020-05-19T00:00:00Z,0,0,25,0,0,69,0,0,0,36233,0,0,0,-80.22943817,39.85480393
Huntingdon,2020-05-19T00:00:00Z,1,2.6,215,2.2,5.7,476.3,0,0.3,2,45144,0,0.63,4.43,-77.9827661,40.416105
Pike,2020-05-19T00:00:00Z,3,2,462,5.4,3.6,827.8,0,0.4,19,55809,0,0.77,34.04,-75.03270924,41.332572
Lancaster,2020-05-19T00:00:00Z,13,39.3,2606,2.4,7.2,477.5,2,4.7,290,545724,0.37,0.86,53.14,-76.25138768,40.04590796
Schuylkill,2020-05-19T00:00:00Z,9,9.3,538,6.4,6.6,380.6,0,1.3,29,141359,0,0.91,20.52,-76.22332385,40.70751243
Monroe,2020-05-19T00:00:00Z,13,6.3,1269,7.6,3.7,745.3,0,1.9,102,170271,0,1.09,59.9,-75.34083603,41.06091787
Philadelphia,2020-05-19T00:00:00Z,159,222.4,20300,10,14,1281.5,11,18.4,1386,1584064,0.69,1.16,87.5,-75.140236,40.00444354
Mercer,2020-05-19T00:00:00Z,0,2.6,96,0,2.3,87.7,0,0.1,6,109424,0,0.13,5.48,-80.26009411,41.30237777
Luzerne,2020-05-19T00:00:00Z,17,14.1,2554,5.4,4.5,804.6,3,1.9,142,317417,0.95,0.59,44.74,-75.9919961,41.17836439
Lawrence,2020-05-19T00:00:00Z,0,0.3,73,0,0.3,85.4,0,0,8,85512,0,0,9.36,-80.33754114,40.99325035
Northumberland,2020-05-19T00:00:00Z,6,3.4,157,6.6,3.8,172.8,1,0.1,3,90843,1.1,0.16,3.3,-76.71188423,40.85150926
Jefferson,2020-05-19T00:00:00Z,0,0,7,0,0,16.1,0,0,0,43425,0,0,0,-79.00101814,41.13139091
Indiana,2020-05-19T00:00:00Z,0,0.9,82,0,1,97.5,0,0.1,6,84073,0,0.17,7.14,-79.09333493,40.65295497
Mifflin,2020-05-19T00:00:00Z,0,0.6,58,0,1.2,125.7,0,0,1,46138,0,0,2.17,-77.62003089,40.61274928
Juniata,2020-05-19T00:00:00Z,0,0,94,0,0,379.6,1,0.3,4,24763,4.04,1.15,16.15,-77.405775,40.53433008
Tioga,2020-05-19T00:00:00Z,0,0,16,0,0,39.4,0,0,2,40591,0,0,4.93,-77.25788076,41.77333834
Union,2020-05-19T00:00:00Z,6,1.9,46,13.4,4.1,102.4,0,0,1,44923,0,0,2.23,-77.06415803,40.96473131
Venango,2020-05-19T00:00:00Z,0,0.1,8,0,0.3,15.8,0,0,0,50668,0,0,0,-79.76286561,41.40341259
Wayne,2020-05-19T00:00:00Z,0,0.3,107,0,0.6,208.3,0,0,7,51361,0,0,13.63,-75.3051535,41.64969805
Somerset,2020-05-19T00:00:00Z,0,0.6,37,0,0.8,50.4,0,0,0,73447,0,0,0,-79.03100206,39.97146299
York,2020-05-19T00:00:00Z,7,9.3,873,1.6,2.1,194.4,1,0.6,23,449058,0.22,0.13,5.12,-76.72576052,39.92192531
Susquehanna,2020-05-19T00:00:00Z,3,0.9,86,7.4,2.1,213.3,0,0,15,40328,0,0,37.2,-75.80250303,41.8205686
Snyder,2020-05-19T00:00:00Z,0,0,37,0,0,91.6,0,0,1,40372,0,0,2.48,-77.07255968,40.77113737
Washington,2020-05-19T00:00:00Z,1,0.4,125,0.5,0.2,60.4,0,0.1,5,206865,0,0.07,2.42,-80.25180083,40.19109663
Wyoming,2020-05-19T00:00:00Z,0,0.1,29,0,0.5,108.2,0,0.4,7,26794,0,1.6,26.13,-76.01813003,41.51892488
Westmoreland,2020-05-19T00:00:00Z,0,1.4,427,0,0.4,122.4,0,0,38,348899,0,0,10.89,-79.47134118,40.310315
Sullivan,2020-05-19T00:00:00Z,0,0.1,2,0,2.4,33,0,0,0,6066,0,0,0,-76.5147922,41.4480994
Warren,2020-05-19T00:00:00Z,0,0,2,0,0,5.1,0,0,0,39191,0,0,0,-79.27858158,41.81675237
McKean,2020-05-20T00:00:00Z,0,0.1,8,0,0.4,19.7,0,0,1,40625,0,0,2.46,-78.5712202,41.81037074
Bradford,2020-05-20T00:00:00Z,2,0.3,43,3.3,0.5,71.3,0,0,3,60323,0,0,4.97,-76.51825624,41.79117814
Erie,2020-05-20T00:00:00Z,14,7.3,182,5.2,2.7,67.5,0,0,4,269728,0,0,1.48,-80.0407591,41.99413787
Cumberland,2020-05-20T00:00:00Z,16,10.7,549,6.3,4.2,216.7,0,0,47,253370,0,0,18.55,-77.26866271,40.16759839
Elk,2020-05-20T00:00:00Z,0,0,5,0,0,16.7,0,0,0,29910,0,0,0,-78.64947713,41.42819416
Dauphin,2020-05-20T00:00:00Z,19,19.1,1022,6.8,6.9,367.2,0,2.4,68,278299,0,0.87,24.43,-76.77960568,40.41974636
Blair,2020-05-20T00:00:00Z,4,1.4,42,3.3,1.2,34.5,0,0,1,121829,0,0,0.82,-78.34907687,40.48555024
Cambria,2020-05-20T00:00:00Z,0,1.1,46,0,0.9,35.3,0,0,2,130192,0,0,1.54,-78.71894174,40.49127491
Chester,2020-05-20T00:00:00Z,39,32.3,2217,7.4,6.1,422.3,4,4,261,524989,0.76,0.76,49.72,-75.75626498,39.97487056
Bedford,2020-05-20T00:00:00Z,3,0.9,37,6.3,1.8,77.3,0,0,2,47888,0,0,4.18,-78.49116474,40.00737536
Crawford,2020-05-20T00:00:00Z,0,0,21,0,0,24.8,0,0,0,84629,0,0,0,-80.11321083,41.68546907
Armstrong,2020-05-20T00:00:00Z,0,0.3,58,0,0.4,89.6,0,0,3,64735,0,0,4.63,-79.47316899,40.81509526
Allegheny,2020-05-20T00:00:00Z,35,22.1,1690,2.9,1.8,139,2,1.4,166,1216045,0.16,0.12,13.65,-79.98619843,40.46735543
Butler,2020-05-20T00:00:00Z,1,1.1,196,0.5,0.6,104.3,0,0,12,187853,0,0,6.39,-79.91711779,40.91083185
Carbon,2020-05-20T00:00:00Z,1,1.6,219,1.6,2.4,341.2,0,0,23,64182,0,0,35.84,-75.71107039,40.91936701
Franklin,2020-05-20T00:00:00Z,13,16.4,679,8.4,10.6,438,1,1.6,33,155027,0.65,1.01,21.29,-77.72398845,39.92786197
Cameron,2020-05-20T00:00:00Z,0,0,2,0,0,45,0,0,0,4447,0,0,0,-78.20916932,41.43880265
Clarion,2020-05-20T00:00:00Z,0,0.1,25,0,0.4,65,0,0,2,38438,0,0,5.2,-79.42483608,41.19279129
Clearfield,2020-05-20T00:00:00Z,0,0,30,0,0,37.9,0,0,0,79255,0,0,0,-78.47558343,41.000429
Delaware,2020-05-20T00:00:00Z,63,97.6,5934,11.1,17.2,1047,13,8.9,583,566747,2.29,1.56,102.87,-75.40627712,39.91657867
Berks,2020-05-20T00:00:00Z,18,35.1,3773,4.3,8.3,895.9,5,4.9,304,421164,1.19,1.15,72.18,-75.93077327,40.41939635
Bucks,2020-05-20T00:00:00Z,74,60.3,4673,11.8,9.6,743.8,7,6.7,485,628270,1.11,1.07,77.2,-75.11291241,40.33501133
Columbia,2020-05-20T00:00:00Z,2,1.3,343,3.1,2,528,0,0.1,30,64964,0,0.22,46.18,-76.4100218,41.04912086
Adams,2020-05-20T00:00:00Z,7,4.3,205,6.8,4.2,199,0,0,5,103009,0,0,4.85,-77.22224271,39.87209565
Forest,2020-05-20T00:00:00Z,0,0,7,0,0,96.6,0,0,0,7247,0,0,0,-79.23780995,41.51357876
Beaver,2020-05-20T00:00:00Z,0,4,534,0,2.4,325.8,1,0.9,76,163929,0.61,0.52,46.36,-80.35107356,40.68349245
Fayette,2020-05-20T00:00:00Z,0,0.6,89,0,0.4,68.8,0,0,4,129274,0,0,3.09,-79.65189635,39.9194478
Clinton,2020-05-20T00:00:00Z,3,0.7,47,7.8,1.8,121.7,1,0.3,3,38632,2.59,0.74,7.77,-77.642837599999993,41.23286274
Centre,2020-05-20T00:00:00Z,1,0.9,134,0.6,0.5,82.5,0,0,5,162385,0,0,3.08,-77.82500112,40.9193135
Jefferson,2020-05-20T00:00:00Z,0,0,7,0,0,16.1,0,0,0,43425,0,0,0,-79.00101814,41.13139091
Perry,2020-05-20T00:00:00Z,1,1,43,2.2,2.2,92.9,0,0,1,46272,0,0,2.16,-77.25907385,40.40415317
Juniata,2020-05-20T00:00:00Z,0,0,94,0,0,379.6,0,0.3,4,24763,0,1.15,16.15,-77.405775,40.53433008
Montgomery,2020-05-20T00:00:00Z,112,95.6,6295,13.5,11.5,757.6,6,9.1,671,830915,0.72,1.1,80.75,-75.37252001,40.20989874
Lebanon,2020-05-20T00:00:00Z,2,4.4,884,1.4,3.1,623.4,2,0.7,27,141793,1.41,0.5,19.04,-76.46182575,40.367597
Lehigh,2020-05-20T00:00:00Z,33,29.9,3561,8.9,8.1,964.2,6,5.4,223,369318,1.62,1.47,60.38,-75.60099481,40.61464794
Huntingdon,2020-05-20T00:00:00Z,6,3,221,13.3,6.6,489.5,0,0.3,2,45144,0,0.63,4.43,-77.9827661,40.416105
Lycoming,2020-05-20T00:00:00Z,0,1.7,153,0,1.5,135,1,0.7,15,113299,0.88,0.63,13.24,-77.06942457,41.34459792
Greene,2020-05-20T00:00:00Z,0,0,25,0,0,69,0,0,0,36233,0,0,0,-80.22943817,39.85480393
Pike,2020-05-20T00:00:00Z,2,2.3,464,3.6,4.1,831.4,0,0.1,19,55809,0,0.26,34.04,-75.03270924,41.332572
Schuylkill,2020-05-20T00:00:00Z,4,8,542,2.8,5.7,383.4,1,1.4,30,141359,0.71,1.01,21.22,-76.22332385,40.70751243
Northampton,2020-05-20T00:00:00Z,30,34.3,2794,9.8,11.2,915.2,2,3.7,204,305285,0.66,1.22,66.82,-75.31263726,40.7545954
Mercer,2020-05-20T00:00:00Z,1,2.3,97,0.9,2.1,88.6,0,0.1,6,109424,0,0.13,5.48,-80.26009411,41.30237777
Potter,2020-05-20T00:00:00Z,0,0,4,0,0,24.2,0,0,0,16526,0,0,0,-77.89879229,41.74420644
Northumberland,2020-05-20T00:00:00Z,0,3,157,0,3.3,172.8,0,0.1,3,90843,0,0.16,3.3,-76.71188423,40.85150926
Luzerne,2020-05-20T00:00:00Z,20,15.4,2574,6.3,4.9,810.9,3,2,145,317417,0.95,0.63,45.68,-75.9919961,41.17836439
Lackawanna,2020-05-20T00:00:00Z,33,23.6,1418,15.7,11.2,676.3,1,4.1,166,209674,0.48,1.98,79.17,-75.61218345,41.43910064
Indiana,2020-05-20T00:00:00Z,2,0.7,84,2.4,0.8,99.9,0,0.1,6,84073,0,0.17,7.14,-79.09333493,40.65295497
Philadelphia,2020-05-20T00:00:00Z,295,228.4,20595,18.6,14.4,1300.1,11,17.7,1397,1584064,0.69,1.12,88.19,-75.140236,40.00444354
Lawrence,2020-05-20T00:00:00Z,0,0.3,73,0,0.3,85.4,0,0,8,85512,0,0,9.36,-80.33754114,40.99325035
Mifflin,2020-05-20T00:00:00Z,0,0.4,58,0,0.9,125.7,0,0,1,46138,0,0,2.17,-77.62003089,40.61274928
Montour,2020-05-20T00:00:00Z,0,0,50,0,0,274.3,0,0,0,18230,0,0,0,-76.66470527,41.02801824
Fulton,2020-05-20T00:00:00Z,1,0.4,14,6.9,2.9,96.4,0,0,1,14530,0,0,6.88,-78.11485045,39.92487511
Lancaster,2020-05-20T00:00:00Z,85,46.3,2691,15.6,8.5,493.1,2,4.1,292,545724,0.37,0.76,53.51,-76.25138768,40.04590796
Monroe,2020-05-20T00:00:00Z,5,5.4,1274,2.9,3.2,748.2,0,1.9,102,170271,0,1.09,59.9,-75.34083603,41.06091787
Westmoreland,2020-05-20T00:00:00Z,5,1.7,432,1.4,0.5,123.8,0,0,38,348899,0,0,10.89,-79.47134118,40.310315
Somerset,2020-05-20T00:00:00Z,0,0.6,37,0,0.8,50.4,0,0,0,73447,0,0,0,-79.03100206,39.97146299
Wayne,2020-05-20T00:00:00Z,2,0.6,109,3.9,1.1,212.2,0,0,7,51361,0,0,13.63,-75.3051535,41.64969805
Sullivan,2020-05-20T00:00:00Z,0,0,2,0,0,33,0,0,0,6066,0,0,0,-76.5147922,41.4480994
Warren,2020-05-20T00:00:00Z,1,0.1,3,2.6,0.4,7.7,0,0,0,39191,0,0,0,-79.27858158,41.81675237
York,2020-05-20T00:00:00Z,9,8.6,882,2,1.9,196.4,0,0.6,23,449058,0,0.13,5.12,-76.72576052,39.92192531
Wyoming,2020-05-20T00:00:00Z,2,0.4,31,7.5,1.6,115.7,0,0.3,7,26794,0,1.07,26.13,-76.01813003,41.51892488
Union,2020-05-20T00:00:00Z,5,2.4,51,11.1,5.4,113.5,0,0,1,44923,0,0,2.23,-77.06415803,40.96473131
Susquehanna,2020-05-20T00:00:00Z,1,0.9,87,2.5,2.1,215.7,0,0,15,40328,0,0,37.2,-75.80250303,41.8205686
Tioga,2020-05-20T00:00:00Z,0,0,16,0,0,39.4,0,0,2,40591,0,0,4.93,-77.25788076,41.77333834
Snyder,2020-05-20T00:00:00Z,0,0,37,0,0,91.6,0,0,1,40372,0,0,2.48,-77.07255968,40.77113737
Venango,2020-05-20T00:00:00Z,0,0.1,8,0,0.3,15.8,0,0,0,50668,0,0,0,-79.76286561,41.40341259
Washington,2020-05-20T00:00:00Z,0,0.3,125,0,0.1,60.4,0,0.1,5,206865,0,0.07,2.42,-80.25180083,40.19109663
McKean,2020-05-21T00:00:00Z,0,0,8,0,0,19.7,0,0,1,40625,0,0,2.46,-78.5712202,41.81037074
Crawford,2020-05-21T00:00:00Z,0,0,21,0,0,24.8,0,0,0,84629,0,0,0,-80.11321083,41.68546907
Clinton,2020-05-21T00:00:00Z,0,0.7,47,0,1.8,121.7,0,0.3,3,38632,0,0.74,7.77,-77.642837599999993,41.23286274
Centre,2020-05-21T00:00:00Z,2,1.1,136,1.2,0.7,83.8,0,0,5,162385,0,0,3.08,-77.82500112,40.9193135
Fayette,2020-05-21T00:00:00Z,0,0.6,89,0,0.4,68.8,0,0,4,129274,0,0,3.09,-79.65189635,39.9194478
Cameron,2020-05-21T00:00:00Z,0,0,2,0,0,45,0,0,0,4447,0,0,0,-78.20916932,41.43880265
Forest,2020-05-21T00:00:00Z,0,0,7,0,0,96.6,0,0,0,7247,0,0,0,-79.23780995,41.51357876
Chester,2020-05-21T00:00:00Z,50,32.7,2267,9.5,6.2,431.8,5,4.3,266,524989,0.95,0.82,50.67,-75.75626498,39.97487056
Franklin,2020-05-21T00:00:00Z,21,17,700,13.5,11,451.5,0,1.4,33,155027,0,0.92,21.29,-77.72398845,39.92786197
Clearfield,2020-05-21T00:00:00Z,1,0.1,31,1.3,0.2,39.1,0,0,0,79255,0,0,0,-78.47558343,41.000429
Columbia,2020-05-21T00:00:00Z,1,1.3,344,1.5,2,529.5,0,0.1,30,64964,0,0.22,46.18,-76.4100218,41.04912086
Elk,2020-05-21T00:00:00Z,0,0,5,0,0,16.7,0,0,0,29910,0,0,0,-78.64947713,41.42819416
Bradford,2020-05-21T00:00:00Z,0,0.3,43,0,0.5,71.3,0,0,3,60323,0,0,4.97,-76.51825624,41.79117814
Beaver,2020-05-21T00:00:00Z,11,4.9,545,6.7,3,332.5,0,0.7,76,163929,0,0.44,46.36,-80.35107356,40.68349245
Butler,2020-05-21T00:00:00Z,0,0.9,196,0,0.5,104.3,0,0,12,187853,0,0,6.39,-79.91711779,40.91083185
Delaware,2020-05-21T00:00:00Z,81,87.4,6015,14.3,15.4,1061.3,6,8.7,589,566747,1.06,1.54,103.93,-75.40627712,39.91657867
Allegheny,2020-05-21T00:00:00Z,22,20.9,1712,1.8,1.7,140.8,2,1.1,168,1216045,0.16,0.09,13.82,-79.98619843,40.46735543
Clarion,2020-05-21T00:00:00Z,0,0.1,25,0,0.4,65,0,0,2,38438,0,0,5.2,-79.42483608,41.19279129
Adams,2020-05-21T00:00:00Z,11,4.6,216,10.7,4.4,209.7,1,0.1,6,103009,0.97,0.14,5.82,-77.22224271,39.87209565
Bucks,2020-05-21T00:00:00Z,40,57.3,4713,6.4,9.1,750.2,10,6.3,495,628270,1.59,1,78.79,-75.11291241,40.33501133
Erie,2020-05-21T00:00:00Z,15,9.1,197,5.6,3.4,73,0,0,4,269728,0,0,1.48,-80.0407591,41.99413787
Armstrong,2020-05-21T00:00:00Z,0,0.1,58,0,0.2,89.6,0,0,3,64735,0,0,4.63,-79.47316899,40.81509526
Berks,2020-05-21T00:00:00Z,51,34,3824,12.1,8.1,908,4,4.3,308,421164,0.95,1.02,73.13,-75.93077327,40.41939635
Cumberland,2020-05-21T00:00:00Z,10,10.1,559,3.9,4,220.6,1,0.1,48,253370,0.39,0.06,18.94,-77.26866271,40.16759839
Cambria,2020-05-21T00:00:00Z,0,0.6,46,0,0.4,35.3,0,0,2,130192,0,0,1.54,-78.71894174,40.49127491
Dauphin,2020-05-21T00:00:00Z,14,18.7,1036,5,6.7,372.3,3,2.1,71,278299,1.08,0.77,25.51,-76.77960568,40.41974636
Blair,2020-05-21T00:00:00Z,2,1.7,44,1.6,1.4,36.1,0,0,1,121829,0,0,0.82,-78.34907687,40.48555024
Carbon,2020-05-21T00:00:00Z,3,2,222,4.7,3.1,345.9,0,0,23,64182,0,0,35.84,-75.71107039,40.91936701
Bedford,2020-05-21T00:00:00Z,0,0.9,37,0,1.8,77.3,0,0,2,47888,0,0,4.18,-78.49116474,40.00737536
Lebanon,2020-05-21T00:00:00Z,4,3.3,888,2.8,2.3,626.3,3,1.1,30,141793,2.12,0.81,21.16,-76.46182575,40.367597
Perry,2020-05-21T00:00:00Z,0,1,43,0,2.2,92.9,0,0,1,46272,0,0,2.16,-77.25907385,40.40415317
Monroe,2020-05-21T00:00:00Z,2,5.4,1276,1.2,3.2,749.4,0,1.7,102,170271,0,1.01,59.9,-75.34083603,41.06091787
Pike,2020-05-21T00:00:00Z,2,2.4,466,3.6,4.4,835,0,0,19,55809,0,0,34.04,-75.03270924,41.332572
Lackawanna,2020-05-21T00:00:00Z,16,24,1434,7.6,11.4,683.9,4,4.3,170,209674,1.91,2.04,81.08,-75.61218345,41.43910064
Lancaster,2020-05-21T00:00:00Z,52,45.1,2743,9.5,8.3,502.6,4,3.9,296,545724,0.73,0.71,54.24,-76.25138768,40.04590796
Mercer,2020-05-21T00:00:00Z,5,2.7,102,4.6,2.5,93.2,0,0.1,6,109424,0,0.13,5.48,-80.26009411,41.30237777
Greene,2020-05-21T00:00:00Z,0,0,25,0,0,69,0,0,0,36233,0,0,0,-80.22943817,39.85480393
Northumberland,2020-05-21T00:00:00Z,5,3.1,162,5.5,3.5,178.3,0,0.1,3,90843,0,0.16,3.3,-76.71188423,40.85150926
Luzerne,2020-05-21T00:00:00Z,27,17.3,2601,8.5,5.4,819.4,1,2,146,317417,0.32,0.63,46,-75.9919961,41.17836439
Lawrence,2020-05-21T00:00:00Z,0,0.1,73,0,0.2,85.4,0,0,8,85512,0,0,9.36,-80.33754114,40.99325035
Huntingdon,2020-05-21T00:00:00Z,2,2.9,223,4.4,6.3,494,0,0.3,2,45144,0,0.63,4.43,-77.9827661,40.416105
Mifflin,2020-05-21T00:00:00Z,0,0.1,58,0,0.3,125.7,0,0,1,46138,0,0,2.17,-77.62003089,40.61274928
Jefferson,2020-05-21T00:00:00Z,0,0,7,0,0,16.1,0,0,0,43425,0,0,0,-79.00101814,41.13139091
Montour,2020-05-21T00:00:00Z,0,0,50,0,0,274.3,0,0,0,18230,0,0,0,-76.66470527,41.02801824
Juniata,2020-05-21T00:00:00Z,0,0,94,0,0,379.6,0,0.3,4,24763,0,1.15,16.15,-77.405775,40.53433008
Philadelphia,2020-05-21T00:00:00Z,317,237.4,20912,20,15,1320.1,13,15.1,1410,1584064,0.82,0.96,89.01,-75.140236,40.00444354
Lehigh,2020-05-21T00:00:00Z,27,29.9,3588,7.3,8.1,971.5,5,4.9,228,369318,1.35,1.32,61.74,-75.60099481,40.61464794
Indiana,2020-05-21T00:00:00Z,0,0.4,84,0,0.5,99.9,0,0,6,84073,0,0,7.14,-79.09333493,40.65295497
Lycoming,2020-05-21T00:00:00Z,1,1.6,154,0.9,1.4,135.9,0,0.7,15,113299,0,0.63,13.24,-77.06942457,41.34459792
Montgomery,2020-05-21T00:00:00Z,109,95.6,6404,13.1,11.5,770.7,8,9,679,830915,0.96,1.08,81.72,-75.37252001,40.20989874
Fulton,2020-05-21T00:00:00Z,0,0.4,14,0,2.9,96.4,0,0,1,14530,0,0,6.88,-78.11485045,39.92487511
Schuylkill,2020-05-21T00:00:00Z,13,7.6,555,9.2,5.4,392.6,1,1.4,31,141359,0.71,1.01,21.93,-76.22332385,40.70751243
Northampton,2020-05-21T00:00:00Z,24,30.4,2818,7.9,10,923.1,5,4,209,305285,1.64,1.31,68.46,-75.31263726,40.7545954
Potter,2020-05-21T00:00:00Z,0,0,4,0,0,24.2,0,0,0,16526,0,0,0,-77.89879229,41.74420644
Westmoreland,2020-05-21T00:00:00Z,0,1.7,432,0,0.5,123.8,0,0,38,348899,0,0,10.89,-79.47134118,40.310315
Washington,2020-05-21T00:00:00Z,3,0.7,128,1.5,0.3,61.9,0,0.1,5,206865,0,0.07,2.42,-80.25180083,40.19109663
Snyder,2020-05-21T00:00:00Z,2,0.3,39,5,0.7,96.6,0,0,1,40372,0,0,2.48,-77.07255968,40.77113737
Wyoming,2020-05-21T00:00:00Z,1,0.6,32,3.7,2.1,119.4,0,0,7,26794,0,0,26.13,-76.01813003,41.51892488
Venango,2020-05-21T00:00:00Z,0,0.1,8,0,0.3,15.8,0,0,0,50668,0,0,0,-79.76286561,41.40341259
