county,date,cases,cases_avg_new,cases_cume,cases_rate,cases_avg_new_rate,cases_cume_rate,deaths,deaths_avg_new,deaths_cume,population,deaths_rate,deaths_avg_new_rate,deaths_cume_rate,longitude,latitude
Monroe,2020-04-01T00:00:00Z,49,37.4,330,28.8,22,193.8,1,1,10,170271,0.59,0.59,5.87,-75.34083603,41.06091787
Jefferson,2020-04-01T00:00:00Z,0,0,0,0,0,0,0,0,0,43425,0,0,0,-79.00101814,41.13139091
Lawrence,2020-04-01T00:00:00Z,3,2.3,19,3.5,2.7,22.2,0,0.3,2,85512,0,0.33,2.34,-80.33754114,40.99325035
Lackawanna,2020-04-01T00:00:00Z,22,11.4,108,10.5,5.5,51.5,0,0,2,209674,0,0,0.95,-75.61218345,41.43910064
Juniata,2020-04-01T00:00:00Z,0,0.1,2,0,0.6,8.1,0,0,0,24763,0,0,0,-77.405775,40.53433008
Montgomery,2020-04-01T00:00:00Z,89,65.6,743,10.7,7.9,89.4,4,1.6,14,830915,0.48,0.19,1.68,-75.37252001,40.20989874
Huntingdon,2020-04-01T00:00:00Z,1,0.3,2,2.2,0.6,4.4,0,0,0,45144,0,0,0,-77.9827661,40.416105
Fulton,2020-04-01T00:00:00Z,0,0,0,0,0,0,0,0,0,14530,0,0,0,-78.11485045,39.92487511
Lycoming,2020-04-01T00:00:00Z,0,0.7,6,0,0.6,5.3,0,0,0,113299,0,0,0,-77.06942457,41.34459792
Lancaster,2020-04-01T00:00:00Z,44,25.9,201,8.1,4.7,36.8,1,0.6,4,545724,0.18,0.1,0.73,-76.25138768,40.04590796
Wayne,2020-04-01T00:00:00Z,2,1.3,14,3.9,2.5,27.3,0,0,0,51361,0,0,0,-75.3051535,41.64969805
Westmoreland,2020-04-01T00:00:00Z,12,8.4,82,3.4,2.4,23.5,0,0,0,348899,0,0,0,-79.47134118,40.310315
Somerset,2020-04-01T00:00:00Z,0,0.1,3,0,0.2,4.1,0,0,0,73447,0,0,0,-79.03100206,39.97146299
Warren,2020-04-01T00:00:00Z,0,0,1,0,0,2.6,0,0,0,39191,0,0,0,-79.27858158,41.81675237
York,2020-04-01T00:00:00Z,22,11.9,103,4.9,2.6,22.9,1,0.1,1,449058,0.22,0.03,0.22,-76.72576052,39.92192531
Tioga,2020-04-01T00:00:00Z,0,0.3,2,0,0.7,4.9,0,0,0,40591,0,0,0,-77.25788076,41.77333834
Snyder,2020-04-01T00:00:00Z,0,0.3,3,0,0.7,7.4,0,0,0,40372,0,0,0,-77.07255968,40.77113737
Sullivan,2020-04-01T00:00:00Z,0,0,0,0,0,0,0,0,0,6066,0,0,0,-76.5147922,41.4480994
Union,2020-04-01T00:00:00Z,1,0.3,2,2.2,0.6,4.5,0,0,0,44923,0,0,0,-77.06415803,40.96473131
Susquehanna,2020-04-01T00:00:00Z,1,0.3,3,2.5,0.7,7.4,0,0,0,40328,0,0,0,-75.80250303,41.8205686
Washington,2020-04-01T00:00:00Z,2,3.6,38,1,1.7,18.4,0,0,0,206865,0,0,0,-80.25180083,40.19109663
Wyoming,2020-04-01T00:00:00Z,1,0.1,1,3.7,0.5,3.7,0,0,0,26794,0,0,0,-76.01813003,41.51892488
Venango,2020-04-01T00:00:00Z,0,0.4,3,0,0.8,5.9,0,0,0,50668,0,0,0,-79.76286561,41.40341259
McKean,2020-04-02T00:00:00Z,0,0.1,1,0,0.4,2.5,0,0,0,40625,0,0,0,-78.5712202,41.81037074
Allegheny,2020-04-02T00:00:00Z,57,45.9,478,4.7,3.8,39.3,0,0.1,2,1216045,0,0.01,0.16,-79.98619843,40.46735543
Forest,2020-04-02T00:00:00Z,0,0.1,1,0,2,13.8,0,0,0,7247,0,0,0,-79.23780995,41.51357876
Delaware,2020-04-02T00:00:00Z,71,51,550,12.5,9,97,4,1.3,14,566747,0.71,0.23,2.47,-75.40627712,39.91657867
Crawford,2020-04-02T00:00:00Z,0,0.6,5,0,0.7,5.9,0,0,0,84629,0,0,0,-80.11321083,41.68546907
Franklin,2020-04-02T00:00:00Z,3,2.7,24,1.9,1.8,15.5,0,0,0,155027,0,0,0,-77.72398845,39.92786197
Armstrong,2020-04-02T00:00:00Z,5,1.6,12,7.7,2.4,18.5,0,0,0,64735,0,0,0,-79.47316899,40.81509526
Cameron,2020-04-02T00:00:00Z,0,0.1,1,0,3.2,22.5,0,0,0,4447,0,0,0,-78.20916932,41.43880265
Elk,2020-04-02T00:00:00Z,0,0,0,0,0,0,0,0,0,29910,0,0,0,-78.64947713,41.42819416
Bedford,2020-04-02T00:00:00Z,0,0.4,3,0,0.9,6.3,0,0,0,47888,0,0,0,-78.49116474,40.00737536
Butler,2020-04-02T00:00:00Z,6,7.1,76,3.2,3.8,40.5,0,0,1,187853,0,0,0.53,-79.91711779,40.91083185
Chester,2020-04-02T00:00:00Z,17,17.7,225,3.2,3.4,42.9,2,0.4,3,524989,0.38,0.08,0.57,-75.75626498,39.97487056
Clearfield,2020-04-02T00:00:00Z,1,0.4,5,1.3,0.5,6.3,0,0,0,79255,0,0,0,-78.47558343,41.000429
Bucks,2020-04-02T00:00:00Z,76,46,447,12.1,7.3,71.1,2,1.4,10,628270,0.32,0.23,1.59,-75.11291241,40.33501133
Dauphin,2020-04-02T00:00:00Z,12,9,81,4.3,3.2,29.1,0,0.1,1,278299,0,0.05,0.36,-76.77960568,40.41974636
Columbia,2020-04-02T00:00:00Z,4,1.7,15,6.2,2.6,23.1,0,0,0,64964,0,0,0,-76.4100218,41.04912086
Bradford,2020-04-02T00:00:00Z,1,0.9,8,1.7,1.4,13.3,0,0,0,60323,0,0,0,-76.51825624,41.79117814
Carbon,2020-04-02T00:00:00Z,7,4.6,34,10.9,7.1,53,0,0.1,1,64182,0,0.22,1.56,-75.71107039,40.91936701
Clarion,2020-04-02T00:00:00Z,0,0.6,4,0,1.5,10.4,0,0,0,38438,0,0,0,-79.42483608,41.19279129
Centre,2020-04-02T00:00:00Z,4,3,33,2.5,1.8,20.3,0,0,0,162385,0,0,0,-77.82500112,40.9193135
Adams,2020-04-02T00:00:00Z,2,1.7,20,1.9,1.7,19.4,0,0,0,103009,0,0,0,-77.22224271,39.87209565
Berks,2020-04-02T00:00:00Z,32,19.7,202,7.6,4.7,48,3,0.7,5,421164,0.71,0.17,1.19,-75.93077327,40.41939635
Blair,2020-04-02T00:00:00Z,0,0.4,4,0,0.4,3.3,0,0,0,121829,0,0,0,-78.34907687,40.48555024
Cambria,2020-04-02T00:00:00Z,0,0.4,4,0,0.3,3.1,0,0,0,130192,0,0,0,-78.71894174,40.49127491
Clinton,2020-04-02T00:00:00Z,2,0.3,2,5.2,0.7,5.2,0,0,0,38632,0,0,0,-77.642837599999993,41.23286274
Beaver,2020-04-02T00:00:00Z,16,8.7,75,9.8,5.3,45.8,2,0.7,5,163929,1.22,0.44,3.05,-80.35107356,40.68349245
Fayette,2020-04-02T00:00:00Z,5,1.6,20,3.9,1.2,15.5,0,0.1,1,129274,0,0.11,0.77,-79.65189635,39.9194478
Cumberland,2020-04-02T00:00:00Z,3,4.3,47,1.2,1.7,18.5,0,0.1,1,253370,0,0.06,0.39,-77.26866271,40.16759839
Erie,2020-04-02T00:00:00Z,1,1.9,21,0.4,0.7,7.8,0,0,0,269728,0,0,0,-80.0407591,41.99413787
Northumberland,2020-04-02T00:00:00Z,0,1.1,9,0,1.3,9.9,0,0,0,90843,0,0,0,-76.71188423,40.85150926
Juniata,2020-04-02T00:00:00Z,3,0.6,5,12.1,2.3,20.2,0,0,0,24763,0,0,0,-77.405775,40.53433008
Lebanon,2020-04-02T00:00:00Z,11,5.9,54,7.8,4.1,38.1,0,0,0,141793,0,0,0,-76.46182575,40.367597
Indiana,2020-04-02T00:00:00Z,1,0.7,7,1.2,0.8,8.3,0,0,0,84073,0,0,0,-79.09333493,40.65295497
Perry,2020-04-02T00:00:00Z,1,0.6,4,2.2,1.2,8.6,1,0.1,1,46272,2.16,0.31,2.16,-77.25907385,40.40415317
Mercer,2020-04-02T00:00:00Z,1,0.9,10,0.9,0.8,9.1,0,0,0,109424,0,0,0,-80.26009411,41.30237777
Lycoming,2020-04-02T00:00:00Z,2,0.9,8,1.8,0.8,7.1,0,0,0,113299,0,0,0,-77.06942457,41.34459792
Lancaster,2020-04-02T00:00:00Z,34,29.1,235,6.2,5.3,43.1,0,0.4,4,545724,0,0.08,0.73,-76.25138768,40.04590796
Potter,2020-04-02T00:00:00Z,0,0.1,2,0,0.9,12.1,0,0,0,16526,0,0,0,-77.89879229,41.74420644
Schuylkill,2020-04-02T00:00:00Z,9,7.1,63,6.4,5.1,44.6,0,0,0,141359,0,0,0,-76.22332385,40.70751243
Greene,2020-04-02T00:00:00Z,0,1,11,0,2.8,30.4,0,0,0,36233,0,0,0,-80.22943817,39.85480393
Montour,2020-04-02T00:00:00Z,0,1.6,14,0,8.6,76.8,0,0,0,18230,0,0,0,-76.66470527,41.02801824
Lawrence,2020-04-02T00:00:00Z,6,3,25,7,3.5,29.2,0,0.3,2,85512,0,0.33,2.34,-80.33754114,40.99325035
Montgomery,2020-04-02T00:00:00Z,126,70.9,869,15.2,8.5,104.6,1,1.6,15,830915,0.12,0.19,1.81,-75.37252001,40.20989874
Lehigh,2020-04-02T00:00:00Z,125,70.3,586,33.8,19,158.7,1,0.3,5,369318,0.27,0.08,1.35,-75.60099481,40.61464794
Mifflin,2020-04-02T00:00:00Z,1,0.3,2,2.2,0.6,4.3,0,0,0,46138,0,0,0,-77.62003089,40.61274928
Fulton,2020-04-02T00:00:00Z,0,0,0,0,0,0,0,0,0,14530,0,0,0,-78.11485045,39.92487511
Huntingdon,2020-04-02T00:00:00Z,1,0.4,3,2.2,0.9,6.6,0,0,0,45144,0,0,0,-77.9827661,40.416105
Northampton,2020-04-02T00:00:00Z,79,55.3,467,25.9,18.1,153,1,1.1,12,305285,0.33,0.37,3.93,-75.31263726,40.7545954
Monroe,2020-04-02T00:00:00Z,69,42.9,399,40.5,25.2,234.3,0,1,10,170271,0,0.59,5.87,-75.34083603,41.06091787
Luzerne,2020-04-02T00:00:00Z,99,61.9,486,31.2,19.5,153.1,0,0.3,4,317417,0,0.09,1.26,-75.9919961,41.17836439
Philadelphia,2020-04-02T00:00:00Z,415,241.9,2296,26.2,15.3,144.9,14,5.9,44,1584064,0.88,0.37,2.78,-75.140236,40.00444354
Pike,2020-04-02T00:00:00Z,15,8.7,85,26.9,15.6,152.3,1,0.1,2,55809,1.79,0.26,3.58,-75.03270924,41.332572
Jefferson,2020-04-02T00:00:00Z,0,0,0,0,0,0,0,0,0,43425,0,0,0,-79.00101814,41.13139091
Lackawanna,2020-04-02T00:00:00Z,13,12.4,121,6.2,5.9,57.7,1,0.1,3,209674,0.48,0.07,1.43,-75.61218345,41.43910064
Washington,2020-04-02T00:00:00Z,2,3.6,40,1,1.7,19.3,0,0,0,206865,0,0,0,-80.25180083,40.19109663
Union,2020-04-02T00:00:00Z,1,0.4,3,2.2,1,6.7,0,0,0,44923,0,0,0,-77.06415803,40.96473131
Tioga,2020-04-02T00:00:00Z,1,0.4,3,2.5,1.1,7.4,0,0,0,40591,0,0,0,-77.25788076,41.77333834
Snyder,2020-04-02T00:00:00Z,1,0.3,4,2.5,0.7,9.9,0,0,0,40372,0,0,0,-77.07255968,40.77113737
Warren,2020-04-02T00:00:00Z,0,0,1,0,0,2.6,0,0,0,39191,0,0,0,-79.27858158,41.81675237
York,2020-04-02T00:00:00Z,20,13.6,123,4.5,3,27.4,0,0.1,1,449058,0,0.03,0.22,-76.72576052,39.92192531
Sullivan,2020-04-02T00:00:00Z,0,0,0,0,0,0,0,0,0,6066,0,0,0,-76.5147922,41.4480994
